date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-08,ATH@BOS,Henry Bolte,ATH,BOS,1,9,Home Run,Henry Bolte homers (5) on a fly ball to center field.,Yes,99,50.7,Longshot,No,No
2026-08-08,ATH@BOS,Tyler Soderstrom,ATH,BOS,1,7,Home Run,Tyler Soderstrom homers (19) on a fly ball to right field.,Yes,91,51.1,Longshot,No,No
2026-08-08,ATL@NYY,Ben Rice,NYY,ATL,1,8,Home Run,Ben Rice homers (32) on a fly ball to center field.,Yes,41,56.9,Longshot,No,No
2026-08-08,ATL@NYY,George Lombard Jr.,NYY,ATL,1,7,Home Run,George Lombard Jr. homers (2) on a fly ball to right field.,Yes,77,52.7,Longshot,No,No
2026-08-08,ATL@NYY,Ronald Acuña Jr.,ATL,NYY,1,8,Home Run,Ronald Acuña Jr. homers (12) on a fly ball to left center field.,Yes,10,66.2,Tier 3,Yes,Yes
2026-08-08,BAL@TEX,Corey Seager,TEX,BAL,1,8,Home Run,Corey Seager homers (11) on a fly ball to right center field. Alejandro Osuna scores. Wyatt Langford scores.,Yes,43,56.8,Longshot,No,No
2026-08-08,BAL@TEX,Jackson Holliday,BAL,TEX,1,1,Home Run,Jackson Holliday homers (6) on a fly ball to right field.,Yes,168,45.1,Longshot,No,No
2026-08-08,CHC@KC,Ian Happ,CHC,KC,1,6,Home Run,Ian Happ homers (19) on a fly ball to right center field.,Yes,66,53.7,Longshot,No,No
2026-08-08,CHC@KC,Jac Caglianone,KC,CHC,2,"1, 7",Home Run,Jac Caglianone homers (19) on a fly ball to center field. / Jac Caglianone homers (20) on a fly ball to center field. Carter Jensen scores.,Yes,36,57.3,Longshot,No,No
2026-08-08,CIN@WSH,Eugenio Suárez,CIN,WSH,1,6,Home Run,Eugenio Suárez homers (16) on a fly ball to left center field. Sal Stewart scores.,Yes,88,51.4,Longshot,No,No
2026-08-08,CLE@CWS,Angel Genao,CLE,CWS,1,7,Home Run,Angel Genao homers (1) on a fly ball to right field.,No,,,,No,No
2026-08-08,CLE@CWS,Munetaka Murakami,CWS,CLE,1,6,Home Run,Munetaka Murakami homers (26) on a fly ball to left field.,Yes,3,70.0,Tier 3,Yes,Yes
2026-08-08,CLE@CWS,Rhys Hoskins,CLE,CWS,1,6,Home Run,Rhys Hoskins homers (13) on a fly ball to left field. Angel Martínez scores.,Yes,111,49.3,Longshot,No,No
2026-08-08,COL@STL,Jake McCarthy,COL,STL,2,"1, 6",Home Run,Jake McCarthy homers (12) on a fly ball to right center field. / Jake McCarthy homers (13) on a fly ball to center field. Ezequiel Tovar scores.,Yes,146,46.5,Longshot,No,No
2026-08-08,COL@STL,Jordan Walker,STL,COL,1,8,Home Run,Jordan Walker homers (23) on a fly ball to left center field.,Yes,13,64.2,Tier 3,Yes,No
2026-08-08,HOU@SD,Jackson Merrill,SD,HOU,1,3,Home Run,Jackson Merrill homers (17) on a fly ball to center field.,Yes,74,53.0,Longshot,No,No
2026-08-08,HOU@SD,Taylor Trammell,HOU,SD,1,2,Home Run,Taylor Trammell homers (7) on a fly ball to right center field.,Yes,135,47.3,Longshot,No,No
2026-08-08,LAD@AZ,Kyle Tucker,LAD,AZ,1,8,Home Run,Kyle Tucker homers (11) on a fly ball to right field.,Yes,120,48.6,Longshot,No,No
2026-08-08,NYM@PIT,Brandon Lowe,PIT,NYM,1,7,Home Run,Brandon Lowe homers (25) on a fly ball to right field.,Yes,5,68.5,Tier 3,Yes,Yes
2026-08-08,TB@SEA,Josh Naylor,SEA,TB,2,"2, 7",Home Run,Josh Naylor homers (9) on a fly ball to right center field. / Josh Naylor homers (10) on a fly ball to right center field.,Yes,199,41.1,Longshot,No,No
2026-08-08,TB@SEA,Victor Mesa Jr.,TB,SEA,1,4,Home Run,Victor Mesa Jr. homers (9) on a fly ball to right field.,No,,,,No,No
2026-08-08,TOR@PHI,Bryce Harper,PHI,TOR,1,6,Home Run,Bryce Harper homers (25) on a fly ball to right center field.,Yes,8,67.1,Tier 3,Yes,Yes
2026-08-08,TOR@PHI,Nathan Lukes,TOR,PHI,1,11,Home Run,Nathan Lukes homers (6) on a fly ball to right center field. Brandon Valenzuela scores.,Yes,133,47.4,Longshot,No,No
2026-08-08,TOR@PHI,Trea Turner,PHI,TOR,1,6,Home Run,Trea Turner homers (17) on a fly ball to left center field.,Yes,60,54.3,Longshot,No,No
2026-08-08,TOR@PHI,Vladimir Guerrero Jr.,TOR,PHI,1,1,Home Run,Vladimir Guerrero Jr. homers (7) on a line drive to left field.,Yes,48,55.8,Longshot,No,No
