date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-30,BAL@ATH,Brian Serven,ATH,BAL,1,3,Home Run,Brian Serven homers (5) on a fly ball to right center field. Tommy White scores.,Yes,53,45.6,Longshot,No,No
2026-08-30,BAL@ATH,Coby Mayo,BAL,ATH,1,4,Home Run,Coby Mayo homers (19) on a line drive to left center field. Pete Alonso scores. Gunnar Henderson scores.,Yes,8,61.5,Tier 3,Yes,Yes
2026-08-30,BAL@ATH,Gunnar Henderson,BAL,ATH,2,"1, 5",Home Run,Gunnar Henderson homers (21) on a line drive to center field. / Gunnar Henderson homers (22) on a fly ball to right field. Blaze Alexander scores. Pete Alonso scores.,Yes,23,54.0,Longshot,No,No
2026-08-30,CIN@CHC,Dane Myers,CIN,CHC,1,5,Home Run,Dane Myers homers (6) on a fly ball to left center field.,Yes,34,50.7,Longshot,No,No
2026-08-30,CIN@CHC,Héctor Rodríguez,CIN,CHC,1,4,Home Run,Héctor Rodríguez homers (4) on a fly ball to right field. Eugenio Suárez scores. Matt McLain scores.,Yes,45,47.7,Longshot,No,No
2026-08-30,CIN@CHC,Pete Crow-Armstrong,CHC,CIN,2,"1, 9",Home Run,Pete Crow-Armstrong homers (37) on a fly ball to right center field. / Pete Crow-Armstrong homers (38) on a fly ball to right center field.,Yes,11,61.1,Tier 3,Yes,No
2026-08-30,CIN@CHC,Sal Stewart,CIN,CHC,1,7,Home Run,Sal Stewart homers (31) on a fly ball to center field.,Yes,5,66.5,Tier 3,Yes,Yes
2026-08-30,CIN@CHC,Tyler Stephenson,CIN,CHC,1,5,Home Run,Tyler Stephenson homers (14) on a fly ball to left field. Elly De La Cruz scores.,Yes,9,61.3,Tier 3,Yes,Yes
2026-08-30,HOU@NYM,Francisco Lindor,NYM,HOU,1,1,Home Run,Francisco Lindor homers (14) on a fly ball to right field.,Yes,10,61.2,Tier 3,Yes,Yes
2026-08-30,HOU@NYM,Jeremy Peña,HOU,NYM,1,1,Home Run,Jeremy Peña homers (17) on a fly ball to center field.,Yes,24,53.9,Longshot,No,No
2026-08-30,HOU@NYM,Juan Soto,NYM,HOU,1,1,Home Run,Juan Soto homers (22) on a fly ball to center field.,Yes,1,69.6,Tier 3,Yes,Yes
2026-08-30,HOU@NYM,LaMonte Wade Jr.,HOU,NYM,1,6,Home Run,LaMonte Wade Jr. homers (3) on a fly ball to right field. Yainer Diaz scores.,Yes,69,36.3,Longshot,No,No
2026-08-30,PHI@LAA,Edmundo Sosa,PHI,LAA,1,7,Home Run,Edmundo Sosa homers (7) on a fly ball to left field.,Yes,19,54.7,Longshot,Yes,No
2026-08-30,PHI@LAA,J.T. Realmuto,PHI,LAA,1,3,Home Run,J.T. Realmuto homers (10) on a fly ball to center field.,Yes,37,49.5,Longshot,No,No
