date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-16,AZ@ATL,Gabriel Moreno,AZ,ATL,1,4,Home Run,Gabriel Moreno homers (9) on a line drive to left field.,Yes,70,53.5,Longshot,No,No
2026-08-16,AZ@ATL,Ildemaro Vargas,AZ,ATL,1,7,Home Run,Ildemaro Vargas homers (9) on a line drive to right field.,Yes,158,44.6,Longshot,No,No
2026-08-16,AZ@ATL,Matt Olson,ATL,AZ,1,7,Home Run,Matt Olson homers (36) on a fly ball to center field. Austin Riley scores. Drake Baldwin scores.,Yes,7,65.9,Tier 3,Yes,Yes
2026-08-16,BOS@PIT,Connor Wong,BOS,PIT,1,5,Home Run,Connor Wong homers (4) on a fly ball to left center field. Jarren Duran scores. Anthony Seigler scores.,Yes,205,39.6,Longshot,No,No
2026-08-16,COL@SF,Adael Amador,COL,SF,1,2,Home Run,Adael Amador homers (1) on a fly ball to right field. Jordan Beck scores. Brett Sullivan scores.,Yes,250,28.5,Longshot,No,No
2026-08-16,COL@SF,Brett Sullivan,COL,SF,1,7,Home Run,Brett Sullivan homers (7) on a fly ball to right field. Connor Norby scores. Jordan Beck scores.,Yes,148,45.7,Longshot,No,No
2026-08-16,COL@SF,Rafael Devers,SF,COL,1,2,Home Run,Rafael Devers homers (25) on a fly ball to right field. Buddy Kennedy scores. Drew Gilbert scores.,Yes,104,50.3,Longshot,No,No
2026-08-16,CWS@DET,Colt Keith,DET,CWS,1,3,Home Run,Colt Keith homers (9) on a fly ball to left field.,Yes,81,51.7,Longshot,No,No
2026-08-16,CWS@DET,Drew Romo,CWS,DET,1,5,Home Run,Drew Romo homers (7) on a fly ball to right field. Tristan Peters scores.,No,,,,No,No
2026-08-16,CWS@DET,Miguel Vargas,CWS,DET,1,9,Home Run,Miguel Vargas homers (28) on a fly ball to left field.,Yes,45,56.7,Longshot,No,No
2026-08-16,CWS@DET,Munetaka Murakami,CWS,DET,1,7,Home Run,Munetaka Murakami homers (28) on a fly ball to left center field. Sam Antonacci scores.,Yes,4,67.7,Tier 3,Yes,Yes
2026-08-16,KC@LAA,Bobby Witt Jr.,KC,LAA,1,5,Home Run,Bobby Witt Jr. homers (14) on a fly ball to left field.,Yes,37,57.9,Longshot,No,No
2026-08-16,KC@LAA,Michael Massey,KC,LAA,1,4,Home Run,Michael Massey homers (11) on a fly ball to right field.,Yes,91,51.1,Longshot,No,No
2026-08-16,MIA@CIN,Heriberto Hernández,MIA,CIN,1,8,Home Run,Heriberto Hernández homers (18) on a fly ball to left field.,Yes,10,65.6,Tier 3,Yes,Yes
2026-08-16,MIA@CIN,Javier Sanoja,MIA,CIN,1,9,Home Run,Javier Sanoja homers (5) on a fly ball to left field. Agustín Ramírez scores. Xavier Edwards scores.,Yes,136,46.9,Longshot,No,No
2026-08-16,MIA@CIN,Tyler Stephenson,CIN,MIA,1,8,Home Run,Tyler Stephenson homers (12) on a fly ball to center field.,No,,,,No,No
2026-08-16,MIL@LAD,Andy Pages,LAD,MIL,1,9,Home Run,Andy Pages homers (21) on a fly ball to left field.,Yes,102,50.5,Longshot,No,No
2026-08-16,MIL@LAD,Max Muncy,LAD,MIL,1,4,Home Run,Max Muncy homers (24) on a fly ball to right field.,Yes,32,59.6,Longshot,No,No
