date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-07-24,ATL@BAL,Christian Encarnacion-Strand,BAL,ATL,1,10,Home Run,Christian Encarnacion-Strand homers (3) on a fly ball to right center field. Tyler O'Neill scores.,Yes,76,52.4,Longshot,No,No
2026-07-24,ATL@BAL,Drake Baldwin,ATL,BAL,1,8,Home Run,Drake Baldwin homers (20) on a fly ball to right center field.,Yes,31,58.0,Longshot,No,No
2026-07-24,ATL@BAL,Matt Olson,ATL,BAL,1,10,Home Run,Matt Olson homers (27) on a fly ball to right center field. Joey Bart scores. Jim Jarvis scores.,Yes,37,57.0,Longshot,No,No
2026-07-24,AZ@WSH,Dylan Crews,WSH,AZ,1,4,Home Run,Dylan Crews homers (8) on a fly ball to left center field. CJ Abrams scores.,Yes,52,55.0,Longshot,No,No
2026-07-24,CHC@PIT,Pete Crow-Armstrong,CHC,PIT,1,6,Home Run,Pete Crow-Armstrong homers (22) on a fly ball to right field.,Yes,89,50.8,Longshot,No,No
2026-07-24,CIN@STL,Eugenio Suárez,CIN,STL,1,7,Home Run,Eugenio Suárez homers (14) on a fly ball to left center field. Sal Stewart scores.,Yes,94,50.3,Longshot,No,No
2026-07-24,CLE@TB,Austin Hedges,CLE,TB,1,9,Home Run,Austin Hedges homers (4) on a fly ball to left field. Gabriel Arias scores.,Yes,225,38.4,Longshot,No,No
2026-07-24,CLE@TB,Richie Palacios,TB,CLE,1,8,Home Run,Richie Palacios homers (4) on a fly ball to right center field. Cedric Mullins scores. Jonny DeLuca scores.,No,,,,No,No
2026-07-24,CLE@TB,Ryan Vilade,TB,CLE,1,2,Home Run,Ryan Vilade homers (8) on a fly ball to left field. Jonny DeLuca scores.,Yes,152,44.9,Longshot,No,No
2026-07-24,COL@MIL,Brice Turang,MIL,COL,1,6,Home Run,Brice Turang homers (15) on a fly ball to center field.,Yes,16,60.4,Tier 3,Yes,No
2026-07-24,COL@MIL,Christian Yelich,MIL,COL,1,1,Home Run,Christian Yelich homers (7) on a fly ball to center field.,Yes,28,58.2,Longshot,No,No
2026-07-24,HOU@CWS,Cam Smith,HOU,CWS,1,6,Home Run,Cam Smith homers (13) on a fly ball to left field. Christian Walker scores.,Yes,176,42.5,Longshot,No,No
2026-07-24,LAA@SF,Casey Schmitt,SF,LAA,1,3,Home Run,Casey Schmitt homers (21) on a fly ball to left field. Bryce Eldridge scores. Rafael Devers scores.,Yes,72,52.7,Longshot,No,No
2026-07-24,LAA@SF,Rafael Devers,SF,LAA,1,1,Home Run,Rafael Devers homers (21) on a fly ball to left field. Bryce Eldridge scores.,Yes,23,59.1,Longshot,No,No
2026-07-24,LAA@SF,Vaughn Grissom,LAA,SF,1,8,Home Run,Vaughn Grissom homers (6) on a fly ball to left field. Jorge Soler scores.,Yes,230,37.7,Longshot,No,No
2026-07-24,LAD@NYM,Francisco Alvarez,NYM,LAD,1,8,Home Run,Francisco Alvarez homers (12) on a fly ball to left field.,Yes,44,56.0,Longshot,No,No
2026-07-24,LAD@NYM,Kyle Tucker,LAD,NYM,1,8,Home Run,Kyle Tucker homers (8) on a fly ball to right center field. Freddie Freeman scores.,Yes,161,44.3,Longshot,No,No
2026-07-24,LAD@NYM,Luis Robert Jr.,NYM,LAD,1,2,Home Run,Luis Robert Jr. homers (4) on a fly ball to left field.,Yes,84,51.4,Longshot,No,No
2026-07-24,NYY@PHI,Paul Goldschmidt,NYY,PHI,1,4,Home Run,Paul Goldschmidt homers (16) on a fly ball to right field.,Yes,136,46.3,Longshot,No,No
2026-07-24,SD@MIA,Heriberto Hernández,MIA,SD,1,5,Home Run,Heriberto Hernández homers (14) on a line drive to center field.,Yes,26,58.7,Longshot,No,No
2026-07-24,SD@MIA,Joe Mack,MIA,SD,1,2,Home Run,Joe Mack homers (10) on a fly ball to right field.,Yes,105,49.3,Longshot,No,No
2026-07-24,SD@MIA,Luis Rengifo,SD,MIA,1,8,Home Run,Luis Rengifo homers (2) on a fly ball to right field. Jase Bowen scores.,No,,,,No,No
2026-07-24,SEA@TEX,Jake Burger,TEX,SEA,1,4,Home Run,Jake Burger homers (18) on a line drive to right field. Ezequiel Duran scores.,Yes,126,47.0,Longshot,No,No
2026-07-24,SEA@TEX,Wyatt Langford,TEX,SEA,1,1,Home Run,Wyatt Langford homers (12) on a fly ball to left field.,Yes,92,50.6,Longshot,No,No
2026-07-24,TOR@BOS,Anthony Seigler,BOS,TOR,1,1,Home Run,Anthony Seigler homers (3) on a fly ball to right field.,Yes,165,43.9,Longshot,No,No
2026-07-24,TOR@BOS,Ceddanne Rafaela,BOS,TOR,1,3,Home Run,"Umpire reviewed (home run), call on the field was upheld: Ceddanne Rafaela homers (10) on a line drive to left field. Anthony Seigler scores.",Yes,148,45.1,Longshot,No,No
2026-07-24,TOR@BOS,Kazuma Okamoto,TOR,BOS,1,7,Home Run,Kazuma Okamoto homers (23) on a fly ball to center field. Ernie Clement scores. Vladimir Guerrero Jr. scores.,Yes,63,53.6,Longshot,No,No
