date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-07-19,BAL@HOU,Coby Mayo,BAL,HOU,1,6,Home Run,Coby Mayo homers (13) on a fly ball to right center field.,Yes,200,40.4,Longshot,No,No
2026-07-19,BAL@HOU,Jose Altuve,HOU,BAL,1,8,Home Run,Jose Altuve homers (12) on a fly ball to left field.,Yes,192,41.0,Longshot,No,No
2026-07-19,CIN@COL,Hunter Goodman,COL,CIN,3,"1, 6, 8",Home Run,Hunter Goodman homers (28) on a fly ball to center field. / Hunter Goodman homers (29) on a fly ball to left center field. Jake McCarthy scores. / Hunter Goodman homers (30) on a fly ball to center field. Mickey Moniak scores.,Yes,21,61.0,Tier 3,No,No
2026-07-19,CIN@COL,Nathaniel Lowe,CIN,COL,1,1,Home Run,Nathaniel Lowe homers (11) on a fly ball to right field. Elly De La Cruz scores. JJ Bleday scores.,Yes,38,57.3,Longshot,No,No
2026-07-19,CIN@COL,Sal Stewart,CIN,COL,1,2,Home Run,Sal Stewart homers (20) on a fly ball to center field. Dane Myers scores. Elly De La Cruz scores.,Yes,13,62.8,Tier 3,Yes,No
2026-07-19,CIN@COL,Tyler Stephenson,CIN,COL,2,"1, 5",Home Run,Tyler Stephenson homers (7) on a fly ball to left center field. Eugenio Suárez scores. / Tyler Stephenson homers (8) on a fly ball to left center field.,Yes,77,52.9,Longshot,No,No
2026-07-19,CIN@COL,Willi Castro,COL,CIN,1,9,Home Run,Willi Castro homers (9) on a fly ball to right field.,Yes,84,51.4,Longshot,No,No
2026-07-19,DET@LAA,Kevin McGonigle,DET,LAA,1,1,Home Run,Kevin McGonigle homers (9) on a fly ball to left center field.,Yes,70,53.4,Longshot,No,No
2026-07-19,DET@LAA,Riley Greene,DET,LAA,1,9,Home Run,Riley Greene homers (14) on a fly ball to right center field.,Yes,18,61.7,Tier 3,Yes,No
2026-07-19,LAD@NYY,Jazz Chisholm Jr.,NYY,LAD,1,8,Home Run,Jazz Chisholm Jr. homers (14) on a fly ball to left center field.,No,,,,No,No
2026-07-19,LAD@NYY,Tommy Edman,LAD,NYY,1,8,Home Run,Tommy Edman homers (2) on a fly ball to right center field.,Yes,217,38.6,Longshot,No,No
2026-07-19,LAD@NYY,Trent Grisham,NYY,LAD,1,4,Home Run,Trent Grisham homers (11) on a fly ball to right field.,Yes,71,53.1,Longshot,No,No
2026-07-19,MIA@MIL,Esteury Ruiz,MIA,MIL,1,3,Home Run,Esteury Ruiz homers (5) on a fly ball to left field.,Yes,228,37.7,Longshot,No,No
2026-07-19,MIA@MIL,William Contreras,MIL,MIA,1,9,Home Run,William Contreras homers (10) on a fly ball to center field. Jackson Chourio scores. Brice Turang scores.,No,,,,No,No
2026-07-19,MIN@CHC,Alex Bregman,CHC,MIN,1,1,Home Run,Alex Bregman homers (10) on a fly ball to left field. Seiya Suzuki scores.,Yes,103,49.2,Longshot,No,No
2026-07-19,NYM@PHI,Alec Bohm,PHI,NYM,1,7,Home Run,Alec Bohm homers (12) on a fly ball to left field.,Yes,194,40.9,Longshot,No,No
2026-07-19,NYM@PHI,Francisco Lindor,NYM,PHI,1,1,Home Run,Francisco Lindor homers (6) on a fly ball to right field. Bo Bichette scores.,Yes,58,54.5,Longshot,No,No
2026-07-19,PIT@CLE,Esmerlyn Valdez,PIT,CLE,1,9,Home Run,Esmerlyn Valdez homers (12) on a fly ball to left field. Jared Triolo scores.,Yes,3,66.6,Tier 3,Yes,Yes
2026-07-19,SD@KC,Fernando Tatis Jr.,SD,KC,1,6,Home Run,Fernando Tatis Jr. homers (7) on a line drive to left field.,Yes,40,57.2,Longshot,No,No
2026-07-19,SD@KC,Jac Caglianone,KC,SD,1,1,Home Run,Jac Caglianone homers (16) on a fly ball to right field.,Yes,4,65.7,Tier 3,Yes,Yes
2026-07-19,SD@KC,Jackson Merrill,SD,KC,2,"4, 9",Home Run,Jackson Merrill homers (11) on a fly ball to left center field. / Jackson Merrill homers (12) on a fly ball to right field. Sung-Mun Song scores.,Yes,78,52.7,Longshot,No,No
