date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-06-30,CIN@MIL,Jackson Chourio,MIL,CIN,1,8,Home Run,Jackson Chourio homers (12) on a line drive to left center field.,Yes,40,60.4,Tier 3,No,No
2026-06-30,CIN@MIL,Jake Bauers,MIL,CIN,1,5,Home Run,Jake Bauers homers (15) on a fly ball to center field.,Yes,29,62.8,Tier 3,No,No
2026-06-30,CIN@MIL,Sal Stewart,CIN,MIL,1,1,Home Run,Sal Stewart homers (16) on a line drive to right field.,Yes,41,60.3,Tier 3,No,No
2026-06-30,CWS@BAL,Colson Montgomery,CWS,BAL,1,3,Home Run,Colson Montgomery homers (21) on a fly ball to right center field. Andrew Benintendi scores.,Yes,25,63.4,Tier 3,No,No
2026-06-30,CWS@BAL,Junior Perez,CWS,BAL,1,3,Home Run,Junior Perez homers (2) on a fly ball to center field. Tristan Peters scores. Jacob Gonzalez scores.,Yes,190,45.4,Longshot,No,No
2026-06-30,DET@NYY,Ben Rice,NYY,DET,1,1,Home Run,Ben Rice homers (23) on a fly ball to right center field.,Yes,68,56.5,Longshot,No,No
2026-06-30,DET@NYY,James Outman,DET,NYY,1,6,Home Run,James Outman homers (3) on a fly ball to right center field. Spencer Torkelson scores. Zach McKinstry scores.,Yes,220,42.1,Longshot,No,No
2026-06-30,DET@NYY,Kerry Carpenter,DET,NYY,1,1,Home Run,Kerry Carpenter homers (13) on a fly ball to center field.,Yes,52,58.8,Longshot,No,No
2026-06-30,DET@NYY,Riley Greene,DET,NYY,2,"1, 3",Home Run,Riley Greene homers (10) on a fly ball to right field. / Riley Greene homers (11) on a fly ball to right center field. Dillon Dingler scores.,Yes,54,58.7,Longshot,No,No
2026-06-30,DET@NYY,Spencer Torkelson,DET,NYY,1,1,Home Run,Spencer Torkelson homers (14) on a fly ball to left field. Colt Keith scores.,Yes,126,51.1,Longshot,No,No
2026-06-30,LAD@ATH,Colby Thomas,ATH,LAD,1,7,Home Run,Colby Thomas homers (4) on a fly ball to left center field. Joey Meneses scores.,Yes,77,56.0,Longshot,No,No
2026-06-30,LAD@ATH,Miguel Rojas,LAD,ATH,1,6,Home Run,Miguel Rojas homers (3) on a fly ball to left center field.,Yes,187,45.7,Longshot,No,No
2026-06-30,LAD@ATH,Tommy Edman,LAD,ATH,1,3,Home Run,Tommy Edman homers (1) on a fly ball to center field. Freddie Freeman scores. Kyle Tucker scores.,Yes,165,48.1,Longshot,No,No
2026-06-30,MIA@COL,Javier Sanoja,MIA,COL,1,3,Home Run,Javier Sanoja homers (3) on a fly ball to left center field. Xavier Edwards scores. Owen Caissie scores.,Yes,166,48.0,Longshot,No,No
2026-06-30,MIA@COL,Joe Mack,MIA,COL,1,7,Home Run,Joe Mack homers (5) on a fly ball to right field. Javier Sanoja scores.,Yes,74,56.3,Longshot,No,No
2026-06-30,MIA@COL,Mickey Moniak,COL,MIA,1,1,Home Run,Mickey Moniak homers (13) on a fly ball to center field.,Yes,14,65.6,Tier 3,Yes,No
2026-06-30,MIA@COL,Owen Caissie,MIA,COL,1,8,Home Run,Owen Caissie homers (10) on a fly ball to right center field. Griffin Conine scores. Xavier Edwards scores.,Yes,15,65.3,Tier 3,Yes,No
2026-06-30,MIN@HOU,Yordan Alvarez,HOU,MIN,1,4,Home Run,Yordan Alvarez hits a grand slam (26) to right center field. Yainer Diaz scores. Raynel Delgado scores. Jose Altuve scores.,Yes,9,67.5,Tier 3,Yes,Yes
2026-06-30,NYM@TOR,Francisco Alvarez,NYM,TOR,1,5,Home Run,Francisco Alvarez homers (9) on a fly ball to center field.,Yes,120,52.1,Longshot,No,No
2026-06-30,NYM@TOR,Luis Torrens,NYM,TOR,1,7,Home Run,Luis Torrens homers (2) on a fly ball to right field.,Yes,257,35.8,Longshot,No,No
2026-06-30,PIT@PHI,Trea Turner,PHI,PIT,1,8,Home Run,Trea Turner homers (9) on a fly ball to right center field. Justin Crawford scores.,Yes,130,50.9,Longshot,No,No
2026-06-30,SD@CHC,Alex Bregman,CHC,SD,1,2,Home Run,Alex Bregman homers (7) on a fly ball to left center field. Kevin Alcántara scores. Pete Crow-Armstrong scores.,Yes,66,57.1,Longshot,No,No
2026-06-30,SD@CHC,Dansby Swanson,CHC,SD,2,"2, 5",Home Run,Dansby Swanson homers (12) on a fly ball to center field. / Dansby Swanson homers (13) on a fly ball to left center field. Ian Happ scores.,Yes,67,57.0,Longshot,No,No
2026-06-30,SD@CHC,Fernando Tatis Jr.,SD,CHC,2,"1, 8",Home Run,Fernando Tatis Jr. homers (4) on a fly ball to left field. / Fernando Tatis Jr. homers (5) on a fly ball to right center field.,Yes,30,62.6,Tier 3,No,No
2026-06-30,SD@CHC,Gavin Sheets,SD,CHC,1,8,Home Run,Gavin Sheets homers (14) on a fly ball to right center field. Ty France scores. Xander Bogaerts scores.,No,,,,No,No
2026-06-30,SD@CHC,Manny Machado,SD,CHC,1,3,Home Run,Manny Machado homers (16) on a fly ball to right field. Freddy Fermin scores.,Yes,27,63.1,Tier 3,No,No
2026-06-30,SD@CHC,Michael Busch,CHC,SD,1,5,Home Run,Michael Busch homers (10) on a fly ball to right center field.,Yes,35,61.1,Tier 3,No,No
2026-06-30,SD@CHC,Pete Crow-Armstrong,CHC,SD,1,6,Home Run,Pete Crow-Armstrong homers (18) on a fly ball to right center field.,Yes,23,64.2,Tier 3,No,No
2026-06-30,SF@AZ,Ketel Marte,AZ,SF,1,6,Home Run,Ketel Marte homers (17) on a fly ball to right field.,Yes,118,52.3,Longshot,No,No
2026-06-30,SF@AZ,Lourdes Gurriel Jr.,AZ,SF,1,1,Home Run,Lourdes Gurriel Jr. homers (2) on a fly ball to left center field. Geraldo Perdomo scores. Gabriel Moreno scores.,Yes,263,33.6,Longshot,No,No
2026-06-30,SF@AZ,Luis Arraez,SF,AZ,1,6,Home Run,Luis Arraez homers (4) on a fly ball to right field.,Yes,199,44.5,Longshot,No,No
2026-06-30,SF@AZ,Rafael Devers,SF,AZ,1,7,Home Run,Rafael Devers homers (15) on a fly ball to left center field.,Yes,28,63.0,Tier 3,No,No
2026-06-30,STL@ATL,Nathan Church,STL,ATL,1,4,Home Run,Nathan Church homers (6) on a fly ball to right field. Masyn Winn scores. Lars Nootbaar scores.,Yes,253,36.6,Longshot,No,No
2026-06-30,STL@ATL,Nelson Velázquez,STL,ATL,1,4,Home Run,Nelson Velázquez homers (3) on a fly ball to center field.,Yes,37,60.8,Tier 3,No,No
2026-06-30,TB@KC,Bobby Witt Jr.,KC,TB,2,"3, 8",Home Run,Bobby Witt Jr. homers (11) on a fly ball to left center field. Isaac Collins scores. / Bobby Witt Jr. homers (12) on a fly ball to center field.,Yes,38,60.8,Tier 3,No,No
2026-06-30,TB@KC,Carter Jensen,KC,TB,1,1,Home Run,Carter Jensen homers (12) on a fly ball to right center field.,Yes,39,60.4,Tier 3,No,No
2026-06-30,TB@KC,Junior Caminero,TB,KC,1,3,Home Run,Junior Caminero homers (23) on a fly ball to left center field. Yandy Díaz scores. Jonathan Aranda scores.,Yes,16,65.2,Tier 3,Yes,No
2026-06-30,TB@KC,Ryan Vilade,TB,KC,1,3,Home Run,Ryan Vilade homers (6) on a fly ball to left center field.,Yes,90,54.6,Longshot,No,No
2026-06-30,TEX@CLE,Joc Pederson,TEX,CLE,1,3,Home Run,Joc Pederson homers (14) on a fly ball to center field. Nicky Lopez scores.,Yes,24,63.5,Tier 3,No,No
2026-06-30,TEX@CLE,Josh Jung,TEX,CLE,1,8,Home Run,Josh Jung homers (9) on a fly ball to right center field.,Yes,103,53.4,Longshot,No,No
2026-06-30,TEX@CLE,Kyle Manzardo,CLE,TEX,1,1,Home Run,Kyle Manzardo homers (10) on a fly ball to center field. Chase DeLauter scores.,Yes,51,59.1,Longshot,No,No
2026-06-30,WSH@BOS,CJ Abrams,WSH,BOS,1,8,Home Run,CJ Abrams homers (18) on a fly ball to right center field.,Yes,115,52.5,Longshot,No,No
