date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-20,ATH@KC,Bobby Witt Jr.,KC,ATH,1,1,Home Run,Bobby Witt Jr. homers (16) on a fly ball to left center field.,Yes,22,56.2,Longshot,No,No
2026-08-20,LAA@HOU,Denzer Guzman,LAA,HOU,1,9,Home Run,Denzer Guzman homers (6) on a line drive to left field. Oswald Peraza scores.,Yes,120,32.3,Longshot,No,No
2026-08-20,LAA@HOU,Zach Neto,LAA,HOU,1,5,Home Run,Zach Neto homers (21) on a fly ball to center field. Adam Frazier scores. Nolan Schanuel scores.,Yes,68,45.1,Longshot,No,No
2026-08-20,NYY@BAL,Dylan Beavers,BAL,NYY,1,5,Home Run,Dylan Beavers homers (5) on a fly ball to right field.,Yes,59,47.9,Longshot,No,No
2026-08-20,NYY@BAL,Luis García Jr.,NYY,BAL,1,6,Home Run,Luis García Jr. homers (25) on a fly ball to right center field.,Yes,32,52.3,Longshot,No,No
2026-08-20,NYY@BAL,Spencer Jones,NYY,BAL,1,6,Home Run,Spencer Jones homers (6) on a fly ball to left center field.,Yes,28,53.8,Longshot,No,No
2026-08-20,SEA@MIL,Garrett Mitchell,MIL,SEA,1,8,Home Run,Garrett Mitchell homers (9) on a fly ball to center field.,Yes,47,49.4,Longshot,No,No
2026-08-20,STL@CIN,Jordan Walker,STL,CIN,1,3,Home Run,Jordan Walker homers (26) on a fly ball to center field. JJ Wetherholt scores. Iván Herrera scores.,Yes,8,63.8,Tier 3,Yes,Yes
2026-08-20,STL@CIN,Matt McLain,CIN,STL,1,6,Home Run,Matt McLain hits a grand slam (12) to left field. Ke'Bryan Hayes scores. Sal Stewart scores. JJ Bleday scores.,Yes,25,55.2,Longshot,No,No
2026-08-20,WSH@TEX,Corey Seager,TEX,WSH,1,3,Home Run,Corey Seager homers (13) on a fly ball to left center field.,Yes,31,52.9,Longshot,No,No
