date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-06-16,CLE@MIL,Brice Turang,MIL,CLE,1,4,Home Run,Brice Turang homers (11) on a line drive to right center field.,Yes,63,54.9,Longshot,No,No
2026-06-16,CLE@MIL,Garrett Mitchell,MIL,CLE,1,7,Home Run,Garrett Mitchell homers (5) on a fly ball to right center field.,Yes,95,51.9,Longshot,No,No
2026-06-16,COL@CHC,Pete Crow-Armstrong,CHC,COL,1,1,Home Run,Pete Crow-Armstrong homers (14) on a fly ball to right field.,Yes,8,66.1,Tier 3,Yes,Yes
2026-06-16,COL@CHC,TJ Rumfield,COL,CHC,1,4,Home Run,TJ Rumfield homers (10) on a fly ball to right center field. Willi Castro scores.,Yes,57,55.5,Longshot,No,No
2026-06-16,CWS@NYY,Andrew Benintendi,CWS,NYY,1,1,Home Run,Andrew Benintendi homers (8) on a line drive to right center field.,Yes,91,52.3,Longshot,No,No
2026-06-16,CWS@NYY,Ben Rice,NYY,CWS,1,4,Home Run,Ben Rice homers (20) on a fly ball to right field. J.C. Escarra scores.,Yes,15,63.9,Tier 3,Yes,No
2026-06-16,CWS@NYY,José Caballero,NYY,CWS,1,8,Home Run,José Caballero homers (7) on a fly ball to left field.,Yes,208,40.7,Longshot,No,No
2026-06-16,CWS@NYY,Paul Goldschmidt,NYY,CWS,1,4,Home Run,Paul Goldschmidt homers (10) on a fly ball to left field. Cody Bellinger scores.,Yes,45,56.8,Longshot,No,No
2026-06-16,CWS@NYY,Spencer Jones,NYY,CWS,1,2,Home Run,Spencer Jones homers (2) on a fly ball to right field.,Yes,36,58.0,Longshot,No,No
2026-06-16,KC@WSH,Curtis Mead,WSH,KC,1,7,Home Run,Curtis Mead homers (11) on a fly ball to center field. Nasim Nuñez scores. Andrés Chaparro scores.,Yes,109,50.4,Longshot,No,No
2026-06-16,KC@WSH,Lane Thomas,KC,WSH,1,9,Home Run,Lane Thomas homers (4) on a fly ball to left field.,Yes,113,50.1,Longshot,No,No
2026-06-16,LAA@AZ,Mike Trout,LAA,AZ,1,5,Home Run,Mike Trout homers (17) on a fly ball to center field. Zach Neto scores.,Yes,4,68.2,Tier 3,Yes,Yes
2026-06-16,LAA@AZ,Zach Neto,LAA,AZ,1,3,Home Run,Zach Neto homers (14) on a fly ball to left field.,Yes,53,56.2,Longshot,No,No
2026-06-16,MIA@PHI,Alec Bohm,PHI,MIA,1,2,Home Run,Alec Bohm homers (9) on a fly ball to center field. Kyle Schwarber scores.,Yes,165,44.7,Longshot,No,No
2026-06-16,MIA@PHI,Brandon Marsh,PHI,MIA,1,2,Home Run,Brandon Marsh homers (9) on a fly ball to center field. Edmundo Sosa scores.,Yes,106,50.7,Longshot,No,No
2026-06-16,MIA@PHI,Esteury Ruiz,MIA,PHI,1,7,Home Run,Esteury Ruiz homers (4) on a fly ball to left field. Leo Jiménez scores.,Yes,194,42.1,Longshot,No,No
2026-06-16,MIA@PHI,Kyle Schwarber,PHI,MIA,1,4,Home Run,Kyle Schwarber homers (25) on a line drive to right field.,Yes,5,67.6,Tier 3,Yes,Yes
2026-06-16,MIN@TEX,Kody Clemens,MIN,TEX,1,3,Home Run,Kody Clemens homers (11) on a line drive to right field. Trevor Larnach scores. Byron Buxton scores.,Yes,35,58.1,Longshot,No,No
2026-06-16,MIN@TEX,Trevor Larnach,MIN,TEX,1,1,Home Run,Trevor Larnach homers (4) on a fly ball to right field.,Yes,157,45.4,Longshot,No,No
2026-06-16,NYM@CIN,Mark Vientos,NYM,CIN,1,6,Home Run,Mark Vientos homers (8) on a fly ball to left field. Marcus Semien scores.,No,,,,No,No
2026-06-16,NYM@CIN,Sal Stewart,CIN,NYM,1,1,Home Run,Sal Stewart homers (14) on a fly ball to left field. Blake Dunn scores. JJ Bleday scores.,Yes,30,59.8,Longshot,No,No
2026-06-16,NYM@CIN,Spencer Steer,CIN,NYM,1,1,Home Run,Spencer Steer homers (11) on a fly ball to left center field.,Yes,115,49.7,Longshot,No,No
2026-06-16,PIT@ATH,Brandon Lowe,PIT,ATH,1,9,Home Run,Brandon Lowe homers (18) on a line drive to right field.,Yes,102,51.7,Longshot,No,No
2026-06-16,PIT@ATH,Bryan Reynolds,PIT,ATH,2,"6, 7",Home Run,Bryan Reynolds homers (9) on a fly ball to center field. / Bryan Reynolds homers (10) on a fly ball to right field. Spencer Horwitz scores.,Yes,118,49.4,Longshot,No,No
2026-06-16,PIT@ATH,Zack Gelof,ATH,PIT,1,6,Home Run,Zack Gelof homers (10) on a fly ball to left field.,Yes,169,44.5,Longshot,No,No
2026-06-16,SF@ATL,Drake Baldwin,ATL,SF,1,1,Home Run,Drake Baldwin homers (14) on a fly ball to center field.,Yes,9,65.4,Tier 3,Yes,Yes
2026-06-16,SF@ATL,Jung Hoo Lee,SF,ATL,1,5,Home Run,Jung Hoo Lee homers (4) on a fly ball to right field.,Yes,171,44.3,Longshot,No,No
2026-06-16,SF@ATL,Rafael Devers,SF,ATL,1,5,Home Run,Rafael Devers homers (10) on a fly ball to right center field.,Yes,39,57.8,Longshot,No,No
2026-06-16,SF@ATL,Willy Adames,SF,ATL,1,8,Home Run,Willy Adames homers (12) on a fly ball to center field.,Yes,137,48.0,Longshot,No,No
2026-06-16,TB@LAD,Shohei Ohtani,LAD,TB,1,6,Home Run,Shohei Ohtani homers (15) on a fly ball to center field.,Yes,27,60.7,Tier 3,No,No
2026-06-16,TOR@BOS,Andrés Giménez,TOR,BOS,1,5,Home Run,Andrés Giménez homers (7) on a fly ball to center field.,Yes,265,29.5,Longshot,No,No
2026-06-16,TOR@BOS,Davis Schneider,TOR,BOS,1,5,Home Run,Davis Schneider homers (3) on a fly ball to left field.,Yes,174,44.1,Longshot,No,No
2026-06-16,TOR@BOS,George Springer,TOR,BOS,1,9,Home Run,George Springer homers (7) on a line drive to left center field. Myles Straw scores.,Yes,130,48.6,Longshot,No,No
2026-06-16,TOR@BOS,Jarren Duran,BOS,TOR,1,8,Home Run,Jarren Duran homers (12) on a line drive to center field.,Yes,119,49.1,Longshot,No,No
