date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-09-02,DET@MIN,Spencer Torkelson,DET,MIN,1,12,Home Run,Spencer Torkelson homers (21) on a fly ball to left field. Hao-Yu Lee scores.,No,,,,No,No
2026-09-02,MIA@KC,Carter Jensen,KC,MIA,2,"1, 4",Home Run,Carter Jensen homers (20) on a fly ball to right field. / Carter Jensen homers (21) on a fly ball to right field.,Yes,8,63.3,Tier 3,Yes,Yes
2026-09-02,MIA@KC,Jakob Marsee,MIA,KC,1,9,Home Run,Jakob Marsee homers (9) on a line drive to right center field.,Yes,133,42.2,Longshot,No,No
2026-09-02,MIA@KC,Javier Sanoja,MIA,KC,1,9,Home Run,Javier Sanoja homers (7) on a line drive to left center field.,Yes,118,44.4,Longshot,No,No
2026-09-02,MIA@KC,Kyle Stowers,MIA,KC,1,3,Home Run,Kyle Stowers homers (18) on a fly ball to center field.,Yes,16,61.1,Tier 3,Yes,No
2026-09-02,MIA@KC,Salvador Perez,KC,MIA,1,1,Home Run,Salvador Perez homers (18) on a line drive to left center field. Jac Caglianone scores.,Yes,43,54.7,Longshot,No,No
2026-09-02,MIL@CHC,Alex Bregman,CHC,MIL,1,1,Home Run,Alex Bregman homers (24) on a line drive to left center field. Pete Crow-Armstrong scores.,Yes,98,47.1,Longshot,No,No
2026-09-02,MIL@CHC,Jackson Chourio,MIL,CHC,1,2,Home Run,Jackson Chourio homers (21) on a fly ball to right center field.,Yes,17,61.1,Tier 3,Yes,No
2026-09-02,NYM@TB,Juan Soto,NYM,TB,1,8,Home Run,Juan Soto homers (23) on a line drive to right field.,Yes,11,62.4,Tier 3,Yes,No
2026-09-02,NYM@TB,Richie Palacios,TB,NYM,1,4,Home Run,Richie Palacios homers (6) on a line drive to right field. Cedric Mullins scores.,Yes,143,41.3,Longshot,No,No
2026-09-02,NYY@LAA,Moisés Ballesteros,LAA,NYY,1,10,Home Run,Moisés Ballesteros homers (7) on a fly ball to right field. Wade Meckler scores.,Yes,84,48.9,Longshot,No,No
2026-09-02,NYY@LAA,Vaughn Grissom,LAA,NYY,1,7,Home Run,Vaughn Grissom homers (10) on a fly ball to center field.,Yes,86,48.8,Longshot,No,No
2026-09-02,SEA@BOS,Roman Anthony,BOS,SEA,1,7,Home Run,Roman Anthony homers (2) on a fly ball to left center field.,Yes,40,55.0,Longshot,No,No
2026-09-02,SF@PIT,Rafael Devers,SF,PIT,1,1,Home Run,Rafael Devers homers (32) on a fly ball to center field.,Yes,4,64.6,Tier 3,Yes,Yes
2026-09-02,STL@LAD,Freddie Freeman,LAD,STL,1,1,Home Run,Freddie Freeman homers (16) on a fly ball to center field. Shohei Ohtani scores. Tommy Edman scores.,Yes,99,47.1,Longshot,No,No
2026-09-02,STL@LAD,Leo Bernal,STL,LAD,1,7,Home Run,Leo Bernal homers (1) on a fly ball to right center field. Jordan Walker scores.,Yes,175,37.0,Longshot,No,No
2026-09-02,STL@LAD,Mookie Betts,LAD,STL,1,6,Home Run,Mookie Betts homers (17) on a fly ball to left center field. Tommy Edman scores.,Yes,122,44.0,Longshot,No,No
2026-09-02,STL@LAD,Thomas Saggese,STL,LAD,1,6,Home Run,Thomas Saggese homers (4) on a fly ball to center field. Nathan Church scores.,Yes,169,38.0,Longshot,No,No
2026-09-02,TOR@CLE,Josh Smith,TOR,CLE,1,8,Home Run,Josh Smith homers (4) on a fly ball to right center field.,No,,,,No,No
2026-09-02,TOR@CLE,Vladimir Guerrero Jr.,TOR,CLE,1,2,Home Run,Vladimir Guerrero Jr. homers (8) on a fly ball to left field. Brett Bateman scores. George Springer scores.,Yes,47,53.7,Longshot,No,No
