date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-09-21,MIN@SF,Brooks Lee,MIN,SF,1,4,Home Run,"Umpire reviewed (home run), call on the field was upheld: Brooks Lee homers (24) on a fly ball to right center field.",Yes,27,46.8,Longshot,No,No
2026-09-21,MIN@SF,Drew Gilbert,SF,MIN,1,5,Home Run,Drew Gilbert homers (11) on a line drive to right field.,Yes,19,48.8,Longshot,Yes,No
2026-09-21,MIN@SF,Emmanuel Rodriguez,MIN,SF,1,8,Home Run,Emmanuel Rodriguez homers (2) on a fly ball to center field.,Yes,6,55.9,Longshot,Yes,Yes
2026-09-21,TOR@BAL,Gunnar Henderson,BAL,TOR,1,6,Home Run,Gunnar Henderson homers (24) on a fly ball to right field.,Yes,21,48.2,Longshot,No,No
2026-09-21,TOR@BAL,Pete Alonso,BAL,TOR,2,"1, 8",Home Run,Pete Alonso homers (39) on a fly ball to right field. / Pete Alonso homers (40) on a fly ball to left field. Christian Franklin scores.,Yes,3,59.2,Longshot,Yes,Yes
2026-09-21,WSH@DET,Ben Malgeri,DET,WSH,1,5,Home Run,Ben Malgeri homers (4) on a fly ball to left field. Riley Greene scores. Eduardo Valencia scores.,Yes,37,43.1,Longshot,No,No
2026-09-21,WSH@DET,Javier Báez,DET,WSH,1,4,Home Run,Javier Báez homers (3) on a fly ball to left field. Dillon Dingler scores.,Yes,48,35.6,Longshot,No,No
2026-09-21,WSH@DET,Spencer Torkelson,DET,WSH,1,5,Home Run,Spencer Torkelson homers (25) on a fly ball to left field. Dillon Dingler scores.,Yes,11,51.9,Longshot,Yes,No
2026-09-21,WSH@DET,Yohandy Morales,WSH,DET,1,8,Home Run,Yohandy Morales homers (3) on a fly ball to right field. James Wood scores.,No,,,,No,No
