date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-06-21,BAL@LAD,Blaze Alexander,BAL,LAD,1,8,Home Run,Blaze Alexander homers (3) on a fly ball to left center field. Leody Taveras scores.,Yes,61,47.0,Longshot,No,No
2026-06-21,BAL@LAD,Colton Cowser,BAL,LAD,1,3,Home Run,Colton Cowser homers (8) on a fly ball to center field.,Yes,20,55.4,Longshot,Yes,No
2026-06-21,BAL@LAD,Pete Alonso,BAL,LAD,1,7,Home Run,Pete Alonso homers (18) on a fly ball to right center field. Jeremiah Jackson scores. Gunnar Henderson scores.,Yes,7,61.9,Tier 3,Yes,Yes
2026-06-21,BAL@LAD,Taylor Ward,BAL,LAD,1,2,Home Run,Taylor Ward homers (4) on a fly ball to center field.,Yes,45,49.9,Longshot,No,No
2026-06-21,BOS@SEA,Dominic Canzone,SEA,BOS,1,2,Home Run,Dominic Canzone homers (12) on a fly ball to left field.,Yes,30,53.3,Longshot,No,No
2026-06-21,BOS@SEA,Nate Eaton,BOS,SEA,1,3,Home Run,Nate Eaton homers (1) on a fly ball to left field.,No,,,,No,No
2026-06-21,LAA@ATH,Denzer Guzman,LAA,ATH,1,8,Home Run,Denzer Guzman homers (3) on a fly ball to center field. Vaughn Grissom scores. Nolan Schanuel scores.,Yes,54,49.0,Longshot,No,No
2026-06-21,LAA@ATH,Donovan Walton,LAA,ATH,1,2,Home Run,Donovan Walton homers (3) on a fly ball to right field. Nolan Schanuel scores. Denzer Guzman scores.,Yes,73,45.1,Longshot,No,No
2026-06-21,LAA@ATH,Nick Kurtz,ATH,LAA,1,7,Home Run,Nick Kurtz homers (19) on a fly ball to center field. Zack Gelof scores.,Yes,4,65.6,Tier 3,Yes,Yes
2026-06-21,LAA@ATH,Zach Neto,LAA,ATH,1,9,Home Run,Zach Neto homers (17) on a fly ball to left field. Jose Siri scores.,Yes,22,55.0,Longshot,No,No
2026-06-21,NYM@PHI,Bryce Harper,PHI,NYM,1,5,Home Run,Bryce Harper homers (17) on a fly ball to right field.,Yes,12,58.5,Longshot,Yes,No
2026-06-21,NYM@PHI,Carson Benge,NYM,PHI,1,3,Home Run,Carson Benge homers (9) on a fly ball to left field.,Yes,24,54.1,Longshot,No,No
2026-06-21,NYM@PHI,Kyle Schwarber,PHI,NYM,1,2,Home Run,Kyle Schwarber homers (29) on a fly ball to right center field. Bryson Stott scores. Trea Turner scores.,Yes,1,71.0,Tier 2,Yes,Yes
2026-06-21,PIT@COL,Bryan Reynolds,PIT,COL,1,7,Home Run,Bryan Reynolds homers (11) on a fly ball to right field. Spencer Horwitz scores. Brandon Lowe scores.,Yes,6,62.4,Tier 3,Yes,Yes
2026-06-21,PIT@COL,Nick Gonzales,PIT,COL,1,4,Home Run,Nick Gonzales homers (3) on a fly ball to left center field. Bryan Reynolds scores.,Yes,74,44.9,Longshot,No,No
2026-06-21,PIT@COL,TJ Rumfield,COL,PIT,1,8,Home Run,TJ Rumfield homers (12) on a fly ball to right center field. Jake McCarthy scores. Willi Castro scores.,Yes,27,53.9,Longshot,No,No
