date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-10,BAL@MIN,Austin Martin,MIN,BAL,1,3,Home Run,Austin Martin homers (3) on a line drive to left center field.,Yes,125,38.1,Longshot,No,No
2026-08-10,BAL@MIN,Josh Bell,MIN,BAL,1,7,Home Run,Josh Bell homers (16) on a fly ball to center field. Ryan Jeffers scores. Royce Lewis scores.,Yes,27,52.8,Longshot,No,No
2026-08-10,BOS@TOR,Charles McAdoo,TOR,BOS,1,5,Home Run,Charles McAdoo homers (2) on a fly ball to right field.,No,,,,No,No
2026-08-10,COL@AZ,Nolan Arenado,AZ,COL,1,1,Home Run,Nolan Arenado hits a grand slam (18) to left field. Gabriel Moreno scores. Ketel Marte scores. Lars Nootbaar scores.,No,,,,No,No
2026-08-10,HOU@SF,Cam Smith,HOU,SF,1,7,Home Run,Cam Smith homers (16) on a line drive to left field.,Yes,139,35.5,Longshot,No,No
2026-08-10,HOU@SF,Drew Gilbert,SF,HOU,1,7,Home Run,Drew Gilbert homers (5) on a fly ball to right center field.,Yes,152,32.0,Longshot,No,No
2026-08-10,HOU@SF,Jung Hoo Lee,SF,HOU,1,5,Home Run,Jung Hoo Lee homers (9) on a fly ball to right field.,Yes,131,37.3,Longshot,No,No
2026-08-10,KC@LAD,Jac Caglianone,KC,LAD,1,3,Home Run,Jac Caglianone homers (21) on a line drive to right center field. Nick Loftin scores.,Yes,31,52.2,Longshot,No,No
2026-08-10,KC@LAD,Kyle Isbel,KC,LAD,1,7,Home Run,Kyle Isbel homers (4) on a fly ball to right field. Michael Massey scores.,Yes,168,25.6,Longshot,No,No
2026-08-10,MIL@SD,Christian Yelich,MIL,SD,1,2,Home Run,Christian Yelich homers (8) on a fly ball to left center field. William Contreras scores.,Yes,104,40.5,Longshot,No,No
2026-08-10,MIL@SD,Jackson Merrill,SD,MIL,1,7,Home Run,Jackson Merrill homers (19) on a fly ball to center field. Ty France scores.,Yes,42,49.9,Longshot,No,No
2026-08-10,MIL@SD,Ty France,SD,MIL,1,2,Home Run,Ty France homers (17) on a line drive to left field.,Yes,86,43.5,Longshot,No,No
2026-08-10,NYM@ATL,Brett Baty,NYM,ATL,1,1,Home Run,Brett Baty hits a grand slam (8) to center field. Bo Bichette scores. Carson Benge scores. Jared Young scores.,No,,,,No,No
2026-08-10,NYM@ATL,Francisco Lindor,NYM,ATL,1,3,Home Run,Francisco Lindor homers (11) on a fly ball to right field.,Yes,16,54.7,Longshot,Yes,No
2026-08-10,TB@ATH,Junior Caminero,TB,ATH,1,8,Home Run,Junior Caminero homers (34) on a line drive to left center field. Yandy Díaz scores. Jonathan Aranda scores.,Yes,17,54.7,Longshot,Yes,No
2026-08-10,TB@ATH,Yandy Díaz,TB,ATH,1,1,Home Run,Yandy Díaz homers (16) on a line drive to center field.,No,,,,No,No
2026-08-10,TB@ATH,Zack Gelof,ATH,TB,1,5,Home Run,Zack Gelof homers (12) on a line drive to left center field.,No,,,,No,No
2026-08-10,TEX@LAA,Mike Trout,LAA,TEX,1,1,Home Run,Mike Trout homers (20) on a fly ball to center field.,Yes,10,57.7,Longshot,Yes,Yes
