rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
239,686475,Tyler Tolbert,KC,CLE,2026-08-28T23:10:00Z,Scheduled,7,Tanner Bibee,676440,R,30.9,Longshot,Watch List,Projected Lineup,7.7,43.6,27.6,59.8,50.0,17.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,17,0,"Last 7 games: 4/17, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 26.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.03,29.14,86.13,96.608,0.3234,0.0753,0.3004,69.25,3.23,33.17,23.26,2.4,0.1196,8.17,38.84,89.06,0.4116,0.166,27.83,,,Progressive Field,
240,691011,Drew Romo,CWS,MIN,2026-08-29T00:10:00Z,Scheduled,9,Dean Kremer,665152,R,30.9,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.6,40.7,27.1,40.2,75.0,30.3,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,1,"Last 7 games: 4/20, 1 HR","switch hitter; pitcher baseline 7.8% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.4,26.4,84.2,95.2192,0.2037,0.0763,0.1764,68.56,3.85,37.6,31.2,4.9,0.1085,7.79,35.38,87.61,0.4326,0.1953,33.16,,,Target Field,
241,693304,Nick Gonzales,PIT,STL,2026-08-29T00:15:00Z,Scheduled,1,Quinn Mathews,687273,L,30.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",15.0,8.8,22.1,88.7,78.0,20.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,0,"Last 7 games: 7/27, 0 HR","platoon edge; pitcher baseline 2.2% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.17,35.3,86.84,98.1122,0.3757,0.1042,0.312,70.64,12.59,37.08,20.91,5.7,0.0929,2.2,28.3,86.6,0.294,0.064,30.4,,,Busch Stadium,
242,630105,Jake Cronenworth,SD,TB,2026-08-28T23:10:00Z,Scheduled,9,Shane McClanahan,663556,L,30.7,Longshot,Watch List,Projected Lineup,15.3,44.0,27.6,40.2,50.0,16.6,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,0,"Last 7 games: 6/26, 0 HR","same-side matchup; pitcher baseline 8.9% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.17,32.7,87.59,97.9234,0.3243,0.1,0.2945,71.39,17.88,31.68,22.65,6.1,0.0939,8.9,41.6,89.5,0.405,0.164,27.7,,,Tropicana Field,
243,677587,Brayan Rocchio,CLE,KC,2026-08-28T23:10:00Z,Scheduled,9,Michael Wacha,608379,R,30.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",14.1,37.2,27.6,40.2,75.0,9.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","switch hitter; pitcher baseline 7.1% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,3.16,32.42,87.09,97.3159,0.3524,0.1074,0.2936,69.93,7.01,43.64,25.37,8.5,0.1147,7.12,36.28,88.27,0.4179,0.1668,29.3,,,Progressive Field,
244,641487,J.P. Crawford,SEA,TOR,2026-08-28T23:15:00Z,Scheduled,8,Dylan Cease,656302,R,30.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",21.4,20.0,30.4,47.9,80.0,5.7,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,0,"Last 7 games: 3/19, 0 HR","platoon edge; pitcher baseline 5.9% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.88,35.4,87.62,98.3377,0.3692,0.1221,0.3255,71.21,18.67,35.7,20.44,10.6,0.1232,5.87,33.86,86.87,0.2995,0.1072,25.47,,,Rogers Centre,
245,624431,Jose Trevino,CIN,CHC,2026-08-28T18:20:00Z,Scheduled,8,David Peterson,656849,L,30.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.0,35.9,29.8,47.9,78.0,12.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,0,"Last 7 games: 4/20, 0 HR","platoon edge; pitcher baseline 6.4% barrel, 11.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,2.89,32.86,86.43,97.4732,0.2983,0.0878,0.229,68.73,2.71,34.81,22.13,4.0,0.127,6.4,42.64,89.62,0.4112,0.1405,19.5,,,Wrigley Field,
246,645305,Ali Sanchez,NYY,BOS,2026-08-28T23:15:00Z,Scheduled,9,Patrick Sandoval,663776,L,29.8,Longshot,Watch List,"Projected Lineup, Platoon Edge",13.1,29.4,38.2,40.2,78.0,0.8,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,8,0,"Last 7 games: 1/8, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.82,30.63,84.52,96.1167,0.3344,0.0931,0.2613,70.14,7.77,36.72,20.47,0.7,0.0814,6.5,33.9,87.2,0.429,0.154,24.2,,,Yankee Stadium,
247,801126,Brock Rodden,SEA,TOR,2026-08-28T23:15:00Z,Scheduled,9,Dylan Cease,656302,R,29.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",24.7,18.6,30.4,40.2,75.0,0.0,No,No,9,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","switch hitter; pitcher baseline 5.9% barrel, 12.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,5.3,42.1,90.1,97.9529,0.212,0.082,0.226,69.1,1.7,63.2,42.1,0.0,0.125,5.87,33.86,86.87,0.2995,0.1072,25.47,,,Rogers Centre,
248,676609,Jose Caballero,NYY,BOS,2026-08-28T23:15:00Z,Scheduled,8,Patrick Sandoval,663776,L,29.6,Longshot,Watch List,"Projected Lineup, Platoon Edge",9.1,29.4,38.2,47.9,78.0,0.8,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 6.5% barrel, 5.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,4.71,27.17,84.39,96.4964,0.3355,0.1101,0.2857,68.89,8.12,41.67,21.59,9.9,0.1299,6.5,33.9,87.2,0.429,0.154,24.2,,,Yankee Stadium,
