date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-09-18,ATH@CLE,José Ramírez,CLE,ATH,1,6,Home Run,José Ramírez homers (12) on a fly ball to right field.,Yes,117,46.8,Longshot,No,No
2026-09-18,ATH@CLE,Travis Bazzana,CLE,ATH,1,5,Home Run,Travis Bazzana homers (15) on a fly ball to center field.,Yes,105,48.1,Longshot,No,No
2026-09-18,ATH@CLE,Zack Gelof,ATH,CLE,1,1,Home Run,Zack Gelof homers (19) on a fly ball to center field. Henry Bolte scores. Lawrence Butler scores.,Yes,121,46.2,Longshot,No,No
2026-09-18,ATL@HOU,Matt Olson,ATL,HOU,1,9,Home Run,Matt Olson homers (40) on a fly ball to left center field. Drake Baldwin scores.,Yes,9,59.1,Longshot,Yes,Yes
2026-09-18,ATL@HOU,Michael Harris II,ATL,HOU,1,4,Home Run,Michael Harris II homers (26) on a fly ball to left center field. Matt Olson scores.,Yes,71,51.3,Longshot,No,No
2026-09-18,ATL@HOU,Ronald Acuña Jr.,ATL,HOU,1,7,Home Run,Ronald Acuña Jr. homers (19) on a line drive to left field. Drake Baldwin scores.,Yes,39,54.6,Longshot,No,No
2026-09-18,BOS@TB,Jahmai Jones,BOS,TB,1,3,Home Run,Jahmai Jones homers (6) on a line drive to left field.,Yes,47,53.6,Longshot,No,No
2026-09-18,BOS@TB,Roman Anthony,BOS,TB,1,1,Home Run,Roman Anthony homers (5) on a fly ball to center field.,Yes,52,53.3,Longshot,No,No
2026-09-18,CHC@CIN,Ian Happ,CHC,CIN,1,3,Home Run,Ian Happ homers (24) on a fly ball to right center field.,Yes,50,53.3,Longshot,No,No
2026-09-18,DET@CWS,Hao-Yu Lee,DET,CWS,1,8,Home Run,Hao-Yu Lee homers (10) on a fly ball to right field. Eduardo Valencia scores.,Yes,234,36.3,Longshot,No,No
2026-09-18,DET@CWS,Miguel Vargas,CWS,DET,1,3,Home Run,Miguel Vargas homers (32) on a fly ball to left field. Brenton Doyle scores.,Yes,80,50.3,Longshot,No,No
2026-09-18,DET@CWS,Riley Greene,DET,CWS,1,8,Home Run,Riley Greene homers (21) on a fly ball to right center field. Dillon Dingler scores.,Yes,18,56.9,Longshot,Yes,No
2026-09-18,KC@PIT,Brandon Lowe,PIT,KC,1,3,Home Run,Brandon Lowe homers (32) on a fly ball to center field. Konnor Griffin scores.,Yes,17,57.0,Longshot,Yes,No
2026-09-18,KC@PIT,Michael Massey,KC,PIT,1,4,Home Run,Michael Massey homers (13) on a fly ball to right field.,Yes,142,44.4,Longshot,No,No
2026-09-18,KC@PIT,Vinnie Pasquantino,KC,PIT,1,1,Home Run,Vinnie Pasquantino homers (13) on a fly ball to right field.,Yes,88,49.3,Longshot,No,No
2026-09-18,MIA@SD,Agustín Ramírez,MIA,SD,1,3,Home Run,Agustín Ramírez homers (5) on a line drive to left field.,No,,,,No,No
2026-09-18,MIA@SD,Jackson Merrill,SD,MIA,1,8,Home Run,Jackson Merrill homers (26) on a fly ball to right field.,Yes,27,55.7,Longshot,No,No
