date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-06-19,BAL@LAD,Gunnar Henderson,BAL,LAD,1,6,Home Run,Gunnar Henderson homers (16) on a fly ball to right field. Jackson Holliday scores.,Yes,64,54.0,Longshot,No,No
2026-06-19,BAL@LAD,Mookie Betts,LAD,BAL,1,9,Home Run,Mookie Betts homers (8) on a fly ball to left field.,Yes,110,48.1,Longshot,No,No
2026-06-19,BAL@LAD,Pete Alonso,BAL,LAD,1,6,Home Run,Pete Alonso homers (17) on a fly ball to left center field.,Yes,19,60.6,Tier 3,Yes,No
2026-06-19,BOS@SEA,Caleb Durbin,BOS,SEA,1,2,Home Run,Caleb Durbin homers (5) on a fly ball to left center field.,Yes,226,31.5,Longshot,No,No
2026-06-19,BOS@SEA,Julio Rodríguez,SEA,BOS,1,9,Home Run,Julio Rodríguez homers (14) on a fly ball to center field. Cal Raleigh scores.,Yes,136,45.3,Longshot,No,No
2026-06-19,CIN@NYY,Ben Rice,NYY,CIN,1,2,Home Run,Ben Rice homers (21) on a fly ball to center field. Spencer Jones scores. Anthony Volpe scores.,Yes,6,66.5,Tier 3,Yes,Yes
2026-06-19,CIN@NYY,Jazz Chisholm Jr.,NYY,CIN,1,2,Home Run,Jazz Chisholm Jr. homers (11) on a fly ball to right field.,Yes,39,56.6,Longshot,No,No
2026-06-19,CLE@HOU,Jeremy Peña,HOU,CLE,2,"3, 7",Home Run,"Umpire reviewed (home run), call on the field was upheld: Jeremy Peña homers (5) on a line drive to left field. / Jeremy Peña homers (6) on a fly ball to left field.",Yes,117,47.1,Longshot,No,No
2026-06-19,CLE@HOU,Jose Altuve,HOU,CLE,1,6,Home Run,Jose Altuve homers (8) on a fly ball to left field. Yordan Alvarez scores. Isaac Paredes scores.,Yes,154,43.6,Longshot,No,No
2026-06-19,CLE@HOU,Rhys Hoskins,CLE,HOU,1,3,Home Run,Rhys Hoskins homers (7) on a fly ball to left field. Brayan Rocchio scores.,Yes,126,46.2,Longshot,No,No
2026-06-19,CWS@DET,Junior Perez,CWS,DET,1,6,Home Run,Junior Perez homers (1) on a line drive to left center field.,Yes,224,32.7,Longshot,No,No
2026-06-19,CWS@DET,Matt Vierling,DET,CWS,1,1,Home Run,Matt Vierling homers (5) on a line drive to center field. Dillon Dingler scores.,Yes,121,46.6,Longshot,No,No
2026-06-19,CWS@DET,Randal Grichuk,CWS,DET,1,1,Home Run,Randal Grichuk homers (7) on a fly ball to left field.,Yes,56,54.4,Longshot,No,No
