date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-09-01,ATH@TEX,Jeff McNeil,ATH,TEX,1,9,Home Run,Jeff McNeil homers (7) on a fly ball to right center field. Michael Stefanic scores.,Yes,238,37.7,Longshot,No,No
2026-09-01,ATL@WSH,Michael Harris II,ATL,WSH,1,8,Home Run,Michael Harris II homers (24) on a fly ball to left center field. Matt Olson scores.,Yes,14,65.2,Tier 3,Yes,No
2026-09-01,ATL@WSH,Ozzie Albies,ATL,WSH,1,2,Home Run,Ozzie Albies homers (21) on a fly ball to center field.,Yes,115,49.4,Longshot,No,No
2026-09-01,ATL@WSH,Yohandy Morales,WSH,ATL,1,3,Home Run,Yohandy Morales homers (1) on a fly ball to left center field.,Yes,197,42.7,Longshot,No,No
2026-09-01,BAL@COL,Adael Amador,COL,BAL,1,2,Home Run,Adael Amador homers (2) on a fly ball to right field.,Yes,180,44.1,Longshot,No,No
2026-09-01,BAL@COL,Jackson Holliday,BAL,COL,1,7,Home Run,Jackson Holliday homers (7) on a fly ball to right field.,Yes,171,44.8,Longshot,No,No
2026-09-01,BAL@COL,TJ Rumfield,COL,BAL,1,7,Home Run,TJ Rumfield homers (14) on a fly ball to right center field. Mickey Moniak scores.,Yes,152,46.7,Longshot,No,No
2026-09-01,CWS@HOU,Isaac Paredes,HOU,CWS,1,8,Home Run,Isaac Paredes homers (18) on a fly ball to left field.,Yes,212,41.0,Longshot,No,No
2026-09-01,DET@MIN,Kody Clemens,MIN,DET,1,1,Home Run,Kody Clemens homers (24) on a fly ball to right field.,Yes,35,59.5,Longshot,No,No
2026-09-01,DET@MIN,Royce Lewis,MIN,DET,1,6,Home Run,Royce Lewis homers (14) on a fly ball to center field. Josh Bell scores. Trevor Larnach scores.,Yes,165,45.6,Longshot,No,No
2026-09-01,DET@MIN,Ryan Jeffers,MIN,DET,1,6,Home Run,Ryan Jeffers homers (13) on a line drive to left field. Luke Keaschall scores. Kody Clemens scores.,Yes,97,51.6,Longshot,No,No
2026-09-01,MIA@KC,Graham Pauley,MIA,KC,1,2,Home Run,Graham Pauley homers (2) on a fly ball to right field. Owen Caissie scores.,Yes,236,38.3,Longshot,No,No
2026-09-01,MIA@KC,Kyle Stowers,MIA,KC,1,5,Home Run,Kyle Stowers homers (17) on a fly ball to right field.,Yes,30,60.4,Tier 3,No,No
