date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-06-22,ATL@SD,Manny Machado,SD,ATL,1,4,Home Run,Manny Machado homers (14) on a line drive to center field.,Yes,102,49.7,Longshot,No,No
2026-06-22,AZ@STL,Tommy Troy,AZ,STL,1,7,Home Run,Tommy Troy homers (3) on a fly ball to center field.,Yes,208,35.0,Longshot,No,No
2026-06-22,BAL@LAA,Coby Mayo,BAL,LAA,1,4,Home Run,Coby Mayo homers (10) on a fly ball to left field. Gunnar Henderson scores. Pete Alonso scores.,Yes,90,50.6,Longshot,No,No
2026-06-22,BAL@LAA,Jorge Soler,LAA,BAL,1,9,Home Run,Jorge Soler homers (10) on a fly ball to left field.,Yes,85,51.4,Longshot,No,No
2026-06-22,BAL@LAA,Taylor Ward,BAL,LAA,1,1,Home Run,Taylor Ward homers (5) on a fly ball to center field.,Yes,98,50.1,Longshot,No,No
2026-06-22,CLE@CWS,Randal Grichuk,CWS,CLE,1,6,Home Run,Randal Grichuk homers (8) on a fly ball to left field.,No,,,,No,No
2026-06-22,HOU@TOR,Kazuma Okamoto,TOR,HOU,1,2,Home Run,Kazuma Okamoto homers (17) on a fly ball to left center field.,Yes,134,46.0,Longshot,No,No
2026-06-22,LAD@MIN,Byron Buxton,MIN,LAD,1,1,Home Run,Byron Buxton homers (25) on a fly ball to left center field.,Yes,4,67.5,Tier 3,Yes,Yes
2026-06-22,LAD@MIN,Freddie Freeman,LAD,MIN,1,6,Home Run,Freddie Freeman homers (13) on a fly ball to center field.,Yes,41,57.7,Longshot,No,No
2026-06-22,LAD@MIN,Shohei Ohtani,LAD,MIN,1,1,Home Run,Shohei Ohtani homers (17) on a fly ball to right field.,Yes,3,68.8,Tier 3,Yes,Yes
2026-06-22,NYY@DET,Amed Rosario,NYY,DET,1,7,Home Run,Amed Rosario homers (7) on a fly ball to right center field. Austin Wells scores.,Yes,71,53.0,Longshot,No,No
2026-06-22,NYY@DET,Riley Greene,DET,NYY,1,5,Home Run,Riley Greene homers (9) on a fly ball to right center field.,Yes,58,54.7,Longshot,No,No
2026-06-22,PHI@WSH,Brandon Marsh,PHI,WSH,1,7,Home Run,Brandon Marsh homers (10) on a fly ball to right field.,Yes,87,51.1,Longshot,No,No
2026-06-22,PHI@WSH,Curtis Mead,WSH,PHI,1,7,Home Run,Curtis Mead homers (12) on a fly ball to left field. James Wood scores.,Yes,81,51.6,Longshot,No,No
2026-06-22,PHI@WSH,Luis García Jr.,WSH,PHI,1,2,Home Run,Luis García Jr. homers (11) on a fly ball to right center field.,Yes,152,44.5,Longshot,No,No
2026-06-22,TEX@MIA,Ezequiel Duran,TEX,MIA,1,4,Home Run,Ezequiel Duran homers (6) on a fly ball to center field. Brandon Nimmo scores.,Yes,207,35.3,Longshot,No,No
