date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-09-14,ATL@CHC,Mike Yastrzemski,ATL,CHC,1,7,Home Run,Mike Yastrzemski homers (10) on a fly ball to center field. Sean Murphy scores.,No,,,,No,No
2026-09-14,ATL@CHC,Pete Crow-Armstrong,CHC,ATL,1,6,Home Run,Pete Crow-Armstrong homers (42) on a fly ball to right center field. Carson Kelly scores.,Yes,15,60.4,Tier 3,Yes,No
2026-09-14,BAL@NYM,A.J. Ewing,NYM,BAL,1,4,Home Run,A.J. Ewing homers (10) on a fly ball to right field.,Yes,99,45.4,Longshot,No,No
2026-09-14,BAL@NYM,Gunnar Henderson,BAL,NYM,1,8,Home Run,Gunnar Henderson homers (23) on a fly ball to right center field.,Yes,78,49.2,Longshot,No,No
2026-09-14,CWS@CLE,David Fry,CLE,CWS,1,9,Home Run,David Fry homers (7) on a fly ball to left field. Jo Adell scores.,No,,,,No,No
2026-09-14,CWS@CLE,Miguel Vargas,CWS,CLE,1,6,Home Run,Miguel Vargas homers (31) on a fly ball to left field. Kyle Teel scores.,Yes,42,53.7,Longshot,No,No
2026-09-14,DET@TOR,Kazuma Okamoto,TOR,DET,1,7,Home Run,Kazuma Okamoto homers (33) on a fly ball to left field. George Springer scores. Alejandro Kirk scores.,Yes,31,55.8,Longshot,No,No
2026-09-14,LAD@CIN,Elly De La Cruz,CIN,LAD,1,9,Home Run,Elly De La Cruz homers (27) on a fly ball to center field.,Yes,19,59.2,Longshot,Yes,No
2026-09-14,LAD@CIN,Kyle Tucker,LAD,CIN,1,2,Home Run,Kyle Tucker homers (15) on a fly ball to right field.,Yes,61,51.5,Longshot,No,No
2026-09-14,LAD@CIN,Teoscar Hernández,LAD,CIN,1,4,Home Run,Teoscar Hernández homers (14) on a fly ball to right center field. Kyle Tucker scores.,Yes,23,56.9,Longshot,No,No
2026-09-14,MIA@AZ,Corbin Carroll,AZ,MIA,1,9,Home Run,Corbin Carroll homers (21) on a fly ball to right field. Tommy Troy scores.,Yes,35,54.7,Longshot,No,No
2026-09-14,MIA@AZ,Jakob Marsee,MIA,AZ,1,4,Home Run,Jakob Marsee homers (10) on a fly ball to right center field.,Yes,108,44.2,Longshot,No,No
2026-09-14,MIA@AZ,Javier Sanoja,MIA,AZ,1,4,Home Run,Javier Sanoja homers (9) on a fly ball to left field.,Yes,162,35.7,Longshot,No,No
2026-09-14,MIA@AZ,Jordan Lawlar,AZ,MIA,1,8,Home Run,Jordan Lawlar homers (5) on a fly ball to left center field. Tim Tawa scores.,Yes,171,34.0,Longshot,No,No
2026-09-14,MIA@AZ,Lars Nootbaar,AZ,MIA,1,3,Home Run,Lars Nootbaar homers (7) on a fly ball to right center field. Jordan Lawlar scores.,Yes,46,53.2,Longshot,No,No
2026-09-14,NYY@MIN,Aaron Judge,NYY,MIN,1,8,Home Run,Aaron Judge homers (18) on a fly ball to left field. Ben Rice scores. Cody Bellinger scores.,Yes,4,66.8,Tier 3,Yes,Yes
2026-09-14,NYY@MIN,Austin Wells,NYY,MIN,1,9,Home Run,Austin Wells homers (12) on a fly ball to right field.,Yes,95,46.4,Longshot,No,No
2026-09-14,NYY@MIN,Josh Bell,MIN,NYY,1,8,Home Run,Josh Bell homers (20) on a fly ball to right field.,Yes,38,54.4,Longshot,No,No
2026-09-14,NYY@MIN,José Caballero,NYY,MIN,1,3,Home Run,José Caballero homers (14) on a line drive to left field.,Yes,174,32.9,Longshot,No,No
2026-09-14,SD@COL,Cole Carrigg,COL,SD,1,7,Home Run,Cole Carrigg homers (8) on a fly ball to right field.,Yes,89,47.3,Longshot,No,No
2026-09-14,SD@COL,Fernando Tatis Jr.,SD,COL,1,2,Home Run,Fernando Tatis Jr. homers (22) on a fly ball to center field. Jake Cronenworth scores.,Yes,3,67.1,Tier 3,Yes,Yes
2026-09-14,SD@COL,Manny Machado,SD,COL,1,1,Home Run,Manny Machado homers (28) on a fly ball to left field.,Yes,8,63.7,Tier 3,Yes,Yes
2026-09-14,SEA@LAA,Cal Raleigh,SEA,LAA,1,4,Home Run,Cal Raleigh homers (22) on a fly ball to right center field. Randy Arozarena scores. Dominic Canzone scores.,Yes,55,52.2,Longshot,No,No
2026-09-14,SEA@LAA,J.P. Crawford,SEA,LAA,1,7,Home Run,J.P. Crawford homers (12) on a fly ball to right center field.,Yes,149,38.2,Longshot,No,No
