date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-09-17,ATH@TB,Lawrence Butler,ATH,TB,1,6,Home Run,Lawrence Butler homers (17) on a fly ball to right field.,Yes,37,49.9,Longshot,No,No
2026-09-17,BOS@TEX,Josh Jung,TEX,BOS,1,1,Home Run,Josh Jung homers (10) on a fly ball to right field.,Yes,73,44.3,Longshot,No,No
2026-09-17,BOS@TEX,Trevor Story,BOS,TEX,1,8,Home Run,Trevor Story homers (4) on a line drive to left center field. Wilyer Abreu scores. Isiah Kiner-Falefa scores.,Yes,115,33.5,Longshot,No,No
2026-09-17,DET@CWS,Munetaka Murakami,CWS,DET,1,1,Home Run,Munetaka Murakami homers (32) on a fly ball to center field. Chase Meidroth scores. Randal Grichuk scores.,Yes,15,56.4,Longshot,Yes,No
2026-09-17,KC@HOU,Daulton Varsho,HOU,KC,1,2,Home Run,Daulton Varsho homers (12) on a fly ball to right center field.,Yes,48,48.5,Longshot,No,No
2026-09-17,KC@HOU,Jeremy Peña,HOU,KC,1,1,Home Run,Jeremy Peña homers (20) on a fly ball to left field.,Yes,35,50.9,Longshot,No,No
2026-09-17,KC@HOU,LaMonte Wade Jr.,HOU,KC,1,5,Home Run,LaMonte Wade Jr. homers (4) on a fly ball to right field.,Yes,101,38.0,Longshot,No,No
2026-09-17,KC@HOU,Taylor Trammell,HOU,KC,1,8,Home Run,Taylor Trammell homers (8) on a fly ball to right field.,Yes,50,48.3,Longshot,No,No
2026-09-17,KC@HOU,Yordan Alvarez,HOU,KC,1,5,Home Run,Yordan Alvarez homers (40) on a fly ball to right field.,Yes,1,68.3,Tier 3,Yes,Yes
2026-09-17,MIN@LAA,Walker Jenkins,MIN,LAA,1,9,Home Run,Walker Jenkins homers (2) on a fly ball to center field. Victor Caratini scores.,No,,,,No,No
2026-09-17,SD@COL,Xander Bogaerts,SD,COL,1,2,Home Run,Xander Bogaerts homers (12) on a fly ball to left field.,Yes,46,48.7,Longshot,No,No
