date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-05,ATH@CIN,Lawrence Butler,ATH,CIN,1,1,Home Run,Lawrence Butler homers (7) on a fly ball to right center field.,Yes,55,55.3,Longshot,No,No
2026-08-05,ATH@CIN,Matt McLain,CIN,ATH,1,5,Home Run,Matt McLain homers (9) on a fly ball to right center field.,Yes,221,38.3,Longshot,No,No
2026-08-05,CWS@BOS,Wilyer Abreu,BOS,CWS,1,3,Home Run,Wilyer Abreu homers (20) on a fly ball to right center field.,Yes,13,62.4,Tier 3,Yes,No
2026-08-05,DET@SEA,Colt Emerson,SEA,DET,1,8,Home Run,Colt Emerson homers (8) on a fly ball to right center field.,Yes,257,29.3,Longshot,No,No
2026-08-05,DET@SEA,Dillon Dingler,DET,SEA,1,8,Home Run,Dillon Dingler homers (25) on a fly ball to center field. Gleyber Torres scores.,Yes,111,49.3,Longshot,No,No
2026-08-05,DET@SEA,Julio Rodríguez,SEA,DET,1,6,Home Run,Julio Rodríguez homers (17) on a fly ball to right field. Randy Arozarena scores. Dominic Canzone scores.,No,,,,No,No
2026-08-05,LAA@BAL,Coby Mayo,BAL,LAA,1,4,Home Run,Coby Mayo homers (15) on a fly ball to left center field.,Yes,61,54.9,Longshot,No,No
2026-08-05,LAA@BAL,Jose Siri,LAA,BAL,1,6,Home Run,Jose Siri homers (6) on a fly ball to left center field.,Yes,158,45.2,Longshot,No,No
2026-08-05,LAA@BAL,Leody Taveras,BAL,LAA,1,8,Home Run,Leody Taveras homers (6) on a line drive to right center field. Gunnar Henderson scores.,No,,,,No,No
2026-08-05,LAA@BAL,Tyler O'Neill,BAL,LAA,1,4,Home Run,Tyler O'Neill homers (9) on a fly ball to left center field. Gunnar Henderson scores.,Yes,44,56.9,Longshot,No,No
2026-08-05,LAD@CHC,Max Muncy,LAD,CHC,1,8,Home Run,Max Muncy homers (22) on a fly ball to right center field. Kyle Tucker scores. Mookie Betts scores.,Yes,80,52.6,Longshot,No,No
2026-08-05,LAD@CHC,Pete Crow-Armstrong,CHC,LAD,2,"1, 4",Home Run,Pete Crow-Armstrong homers (25) on a fly ball to center field. / Pete Crow-Armstrong homers (26) on a fly ball to right field. Tyrone Taylor scores.,Yes,15,62.1,Tier 3,Yes,No
2026-08-05,LAD@CHC,Shohei Ohtani,LAD,CHC,2,"1, 8",Home Run,Shohei Ohtani homers (25) on a line drive to right center field. / Shohei Ohtani homers (26) on a line drive to left center field. Miguel Rojas scores.,Yes,4,71.1,Tier 2,Yes,Yes
2026-08-05,MIN@KC,Michael Massey,KC,MIN,1,7,Home Run,Michael Massey homers (9) on a fly ball to right center field.,Yes,145,46.6,Longshot,No,No
2026-08-05,NYM@CLE,Brett Baty,NYM,CLE,1,3,Home Run,Brett Baty homers (7) on a fly ball to left center field.,Yes,141,47.0,Longshot,No,No
2026-08-05,NYM@CLE,Carson Benge,NYM,CLE,1,6,Home Run,Carson Benge homers (13) on a fly ball to right center field.,Yes,97,51.0,Longshot,No,No
2026-08-05,NYM@CLE,Jorge Polanco,NYM,CLE,1,3,Home Run,Jorge Polanco homers (2) on a fly ball to right field.,Yes,236,35.6,Longshot,No,No
2026-08-05,PIT@MIL,Endy Rodríguez,PIT,MIL,1,7,Home Run,Endy Rodríguez homers (7) on a fly ball to left center field. Bryan Reynolds scores.,No,,,,No,No
2026-08-05,PIT@MIL,William Contreras,MIL,PIT,1,6,Home Run,William Contreras homers (11) on a fly ball to left center field.,Yes,197,40.7,Longshot,No,No
2026-08-05,SD@AZ,Fernando Tatis Jr.,SD,AZ,1,9,Home Run,Fernando Tatis Jr. homers (9) on a fly ball to center field.,No,,,,No,No
2026-08-05,SD@AZ,Tim Tawa,AZ,SD,1,3,Home Run,Tim Tawa homers (6) on a fly ball to left center field.,No,,,,No,No
2026-08-05,SF@TEX,Brandon Nimmo,TEX,SF,1,5,Home Run,Brandon Nimmo homers (12) on a fly ball to left field.,Yes,17,61.5,Tier 3,Yes,No
2026-08-05,TB@COL,Junior Caminero,TB,COL,1,3,Home Run,Junior Caminero homers (33) on a fly ball to left field.,Yes,6,69.0,Tier 3,Yes,Yes
2026-08-05,TOR@HOU,Ernie Clement,TOR,HOU,1,10,Home Run,Ernie Clement homers (9) on a fly ball to left field. Luis Urías scores.,Yes,261,24.8,Longshot,No,No
2026-08-05,TOR@HOU,Jesús Sánchez,TOR,HOU,1,6,Home Run,Jesús Sánchez homers (8) on a fly ball to right field. Kazuma Okamoto scores.,Yes,112,49.2,Longshot,No,No
2026-08-05,TOR@HOU,Jose Altuve,HOU,TOR,1,3,Home Run,Jose Altuve homers (13) on a fly ball to left field.,Yes,119,48.7,Longshot,No,No
2026-08-05,WSH@PHI,Brady House,WSH,PHI,1,7,Home Run,Brady House homers (8) on a fly ball to right center field.,No,,,,No,No
2026-08-05,WSH@PHI,Luis Arraez,PHI,WSH,1,2,Home Run,Luis Arraez homers (5) on a fly ball to right field.,Yes,93,51.4,Longshot,No,No
