date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-24,CHC@AZ,Carson Kelly,CHC,AZ,1,6,Home Run,Carson Kelly homers (8) on a fly ball to left field.,Yes,111,39.6,Longshot,No,No
2026-08-24,CHC@AZ,Michael Conforto,CHC,AZ,1,6,Home Run,Michael Conforto homers (12) on a fly ball to right field. Pedro Ramírez scores.,Yes,43,50.4,Longshot,No,No
2026-08-24,CIN@SF,Rafael Devers,SF,CIN,1,2,Home Run,Rafael Devers homers (27) on a fly ball to right center field. Christian Koss scores. Drew Gilbert scores.,Yes,25,53.5,Longshot,No,No
2026-08-24,CLE@LAA,Austin Hedges,CLE,LAA,1,6,Home Run,Austin Hedges homers (5) on a fly ball to center field. Angel Genao scores.,No,,,,No,No
2026-08-24,COL@WSH,Daylen Lile,WSH,COL,1,8,Home Run,Daylen Lile homers (16) on a fly ball to right center field. Abimelec Ortiz scores. Dylan Crews scores.,Yes,39,50.8,Longshot,No,No
2026-08-24,COL@WSH,Ezequiel Tovar,COL,WSH,1,5,Home Run,Ezequiel Tovar homers (10) on a fly ball to center field.,Yes,136,35.9,Longshot,No,No
2026-08-24,COL@WSH,Willi Castro,COL,WSH,1,4,Home Run,Willi Castro homers (15) on a fly ball to right field.,Yes,57,48.2,Longshot,No,No
2026-08-24,MIN@ATH,Ryan Kreidler,MIN,ATH,1,5,Home Run,Ryan Kreidler homers (6) on a fly ball to left field.,No,,,,No,No
2026-08-24,PHI@SEA,Cal Raleigh,SEA,PHI,3,"1, 5, 7",Home Run,Cal Raleigh homers (15) on a fly ball to right field. Taylor Ward scores. / Cal Raleigh homers (16) on a fly ball to right center field. / Cal Raleigh homers (17) on a fly ball to right field.,Yes,60,47.7,Longshot,No,No
2026-08-24,PHI@SEA,Cole Young,SEA,PHI,1,5,Home Run,Cole Young homers (16) on a line drive to right field.,Yes,144,34.5,Longshot,No,No
2026-08-24,PHI@SEA,J.T. Realmuto,PHI,SEA,1,2,Home Run,J.T. Realmuto homers (9) on a line drive to left center field.,Yes,122,38.4,Longshot,No,No
2026-08-24,PHI@SEA,Julio Rodríguez,SEA,PHI,1,1,Home Run,Julio Rodríguez homers (20) on a fly ball to left field. Randy Arozarena scores. Dominic Canzone scores.,No,,,,No,No
2026-08-24,PIT@SD,Esmerlyn Valdez,PIT,SD,1,6,Home Run,Esmerlyn Valdez homers (15) on a fly ball to center field.,Yes,7,59.8,Longshot,Yes,Yes
2026-08-24,TB@DET,Jonathan Aranda,TB,DET,1,6,Home Run,Jonathan Aranda homers (16) on a fly ball to right center field.,Yes,26,53.4,Longshot,No,No
2026-08-24,TEX@CWS,Jake Burger,TEX,CWS,1,5,Home Run,Jake Burger homers (22) on a fly ball to center field.,Yes,97,41.8,Longshot,No,No
2026-08-24,TEX@CWS,Tristan Peters,CWS,TEX,1,2,Home Run,Tristan Peters homers (10) on a fly ball to right field. Braden Montgomery scores.,Yes,115,39.1,Longshot,No,No
2026-08-24,TEX@CWS,Wyatt Langford,TEX,CWS,1,9,Home Run,Wyatt Langford homers (15) on a fly ball to left center field. Nicky Lopez scores.,Yes,92,42.6,Longshot,No,No
