date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-08-19,ATH@KC,Max Muncy,ATH,KC,1,9,Home Run,Max Muncy homers (6) on a fly ball to center field. Donovan Walton scores.,No,,,,No,No
2026-08-19,ATH@KC,Vinnie Pasquantino,KC,ATH,1,6,Home Run,Vinnie Pasquantino homers (7) on a fly ball to right field.,Yes,128,46.7,Longshot,No,No
2026-08-19,AZ@BOS,Jarren Duran,BOS,AZ,1,3,Home Run,Jarren Duran homers (17) on a fly ball to right center field.,Yes,110,48.1,Longshot,No,No
2026-08-19,AZ@BOS,Lars Nootbaar,AZ,BOS,1,6,Home Run,Lars Nootbaar homers (4) on a line drive to right center field. Nolan Arenado scores.,No,,,,No,No
2026-08-19,AZ@BOS,Mickey Gasper,BOS,AZ,1,6,Home Run,Mickey Gasper homers (3) on a fly ball to right center field. Wilyer Abreu scores. Willson Contreras scores.,Yes,125,46.8,Longshot,No,No
2026-08-19,AZ@BOS,Nick Sogard,BOS,AZ,1,1,Home Run,Nick Sogard homers (1) on a fly ball to right center field.,Yes,158,43.7,Longshot,No,No
2026-08-19,LAA@HOU,Christian Vázquez,HOU,LAA,1,3,Home Run,Christian Vázquez homers (7) on a fly ball to left field.,Yes,252,23.3,Longshot,No,No
2026-08-19,LAD@COL,Enrique Hernández,LAD,COL,1,4,Home Run,Enrique Hernández homers (2) on a fly ball to left field. Kyle Tucker scores.,No,,,,No,No
2026-08-19,LAD@COL,Mickey Moniak,COL,LAD,1,7,Home Run,Mickey Moniak homers (20) on a fly ball to right field. Jake McCarthy scores.,Yes,48,55.1,Longshot,No,No
2026-08-19,LAD@COL,Mookie Betts,LAD,COL,1,4,Home Run,Mookie Betts homers (16) on a fly ball to left field.,Yes,79,50.7,Longshot,No,No
2026-08-19,MIA@PHI,Javier Sanoja,MIA,PHI,1,6,Home Run,Javier Sanoja homers (6) on a line drive to left field.,Yes,200,38.8,Longshot,No,No
2026-08-19,MIA@PHI,Luis Arraez,PHI,MIA,1,3,Home Run,Luis Arraez homers (6) on a fly ball to right center field. Bryce Harper scores.,Yes,154,43.8,Longshot,No,No
2026-08-19,NYY@BAL,Ben Rice,NYY,BAL,1,3,Home Run,Ben Rice homers (34) on a fly ball to right center field.,Yes,15,60.4,Tier 3,Yes,No
2026-08-19,NYY@BAL,Dylan Beavers,BAL,NYY,1,6,Home Run,Dylan Beavers homers (4) on a fly ball to left center field.,No,,,,No,No
2026-08-19,NYY@BAL,Pete Alonso,BAL,NYY,1,3,Home Run,Pete Alonso homers (29) on a fly ball to right center field.,Yes,1,69.1,Tier 3,Yes,Yes
2026-08-19,SD@NYM,Carson Benge,NYM,SD,1,4,Home Run,Carson Benge homers (15) on a fly ball to left field. Bo Bichette scores.,Yes,52,54.4,Longshot,No,No
2026-08-19,SEA@MIL,Joey Ortiz,MIL,SEA,1,2,Home Run,Joey Ortiz homers (7) on a line drive to left center field. Christian Yelich scores.,No,,,,No,No
2026-08-19,STL@CIN,Jordan Walker,STL,CIN,1,9,Home Run,Jordan Walker homers (25) on a fly ball to right center field. JJ Wetherholt scores.,Yes,40,56.5,Longshot,No,No
2026-08-19,STL@CIN,Sal Stewart,CIN,STL,1,6,Home Run,Sal Stewart homers (27) on a fly ball to center field. Matt McLain scores. Elly De La Cruz scores.,Yes,7,63.8,Tier 3,Yes,Yes
2026-08-19,TOR@TB,Alejandro Kirk,TOR,TB,1,4,Home Run,Alejandro Kirk homers (7) on a fly ball to left field.,Yes,153,43.9,Longshot,No,No
2026-08-19,TOR@TB,Yandy Díaz,TB,TOR,1,1,Home Run,Yandy Díaz homers (19) on a fly ball to left center field. Junior Caminero scores.,Yes,58,53.2,Longshot,No,No
2026-08-19,WSH@TEX,Andrés Chaparro,WSH,TEX,1,7,Home Run,Andrés Chaparro homers (8) on a fly ball to left field. Abimelec Ortiz scores. José Tena scores.,No,,,,No,No
2026-08-19,WSH@TEX,José Tena,WSH,TEX,1,3,Home Run,José Tena homers (7) on a fly ball to center field.,No,,,,No,No
