date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-07-23,AZ@STL,Tyler Locklear,AZ,STL,1,4,Home Run,Tyler Locklear homers (1) on a line drive to left field. Adrian Del Castillo scores.,No,,,,No,No
2026-07-23,KC@DET,Isaac Collins,KC,DET,1,6,Home Run,Isaac Collins homers (6) on a fly ball to right field. Michael Massey scores.,Yes,58,39.7,Longshot,No,No
2026-07-23,KC@DET,James Outman,DET,KC,1,7,Home Run,James Outman homers (4) on a fly ball to right center field. Dillon Dingler scores. Kerry Carpenter scores.,Yes,63,38.2,Longshot,No,No
2026-07-23,MIN@CLE,Patrick Bailey,CLE,MIN,1,5,Home Run,Patrick Bailey homers (5) on a fly ball to right field.,Yes,54,43.1,Longshot,No,No
