date,game,player,team,opponent,hr_count,innings,event,description,appeared_in_rankings,rank,hr_score,tier,top_20,top_10
2026-07-05,BOS@LAA,Jarren Duran,BOS,LAA,1,2,Home Run,Jarren Duran homers (13) on a fly ball to center field. Caleb Durbin scores.,Yes,159,44.8,Longshot,No,No
2026-07-05,BOS@LAA,Willson Contreras,BOS,LAA,1,3,Home Run,Willson Contreras homers (20) on a fly ball to left center field. Tsung-Che Cheng scores. Wilyer Abreu scores.,Yes,76,53.3,Longshot,No,No
2026-07-05,BOS@LAA,Zach Neto,LAA,BOS,1,9,Home Run,Zach Neto homers (19) on a fly ball to left center field.,Yes,147,45.8,Longshot,No,No
2026-07-05,CWS@CLE,Chase DeLauter,CLE,CWS,1,1,Home Run,Chase DeLauter homers (8) on a fly ball to right center field. Travis Bazzana scores.,Yes,169,44.0,Longshot,No,No
2026-07-05,CWS@CLE,Colson Montgomery,CWS,CLE,1,3,Home Run,Colson Montgomery homers (23) on a line drive to right center field. Andrew Benintendi scores.,Yes,27,60.5,Tier 3,No,No
2026-07-05,CWS@CLE,Gabriel Arias,CLE,CWS,1,5,Home Run,Gabriel Arias homers (4) on a fly ball to left center field. Chase DeLauter scores. Kyle Manzardo scores.,Yes,107,49.8,Longshot,No,No
2026-07-05,CWS@CLE,Kyle Teel,CWS,CLE,1,1,Home Run,Kyle Teel homers (2) on a fly ball to left field. Miguel Vargas scores.,Yes,56,55.5,Longshot,No,No
2026-07-05,CWS@CLE,Tristan Peters,CWS,CLE,1,2,Home Run,Tristan Peters homers (5) on a fly ball to right center field.,Yes,198,40.2,Longshot,No,No
2026-07-05,DET@TEX,Ezequiel Duran,TEX,DET,1,8,Home Run,Ezequiel Duran homers (7) on a fly ball to center field.,Yes,208,39.6,Longshot,No,No
2026-07-05,DET@TEX,Jake Burger,TEX,DET,1,3,Home Run,Jake Burger homers (15) on a fly ball to left center field.,Yes,123,48.5,Longshot,No,No
2026-07-05,DET@TEX,Riley Greene,DET,TEX,1,4,Home Run,Riley Greene homers (13) on a fly ball to right field. Kerry Carpenter scores.,Yes,19,62.1,Tier 3,Yes,No
2026-07-05,MIA@ATH,Heriberto Hernández,MIA,ATH,2,"1, 6",Home Run,Heriberto Hernández homers (10) on a fly ball to center field. / Heriberto Hernández homers (11) on a fly ball to center field.,Yes,63,54.7,Longshot,No,No
2026-07-05,MIA@ATH,Jonah Heim,ATH,MIA,1,8,Home Run,Jonah Heim hits a grand slam (9) to right field. Joshua Kuroda-Grauer scores. Carlos Cortes scores. Max Muncy scores.,Yes,115,49.2,Longshot,No,No
2026-07-05,MIA@ATH,Leo Jiménez,MIA,ATH,1,3,Home Run,Leo Jiménez homers (1) on a fly ball to left center field. Esteury Ruiz scores.,Yes,182,42.6,Longshot,No,No
2026-07-05,MIA@ATH,Otto Lopez,MIA,ATH,1,6,Home Run,Otto Lopez homers (9) on a fly ball to center field.,Yes,92,51.2,Longshot,No,No
2026-07-05,MIL@AZ,Jake Bauers,MIL,AZ,1,7,Home Run,Jake Bauers homers (16) on a fly ball to right center field. Sal Frelick scores.,Yes,59,55.0,Longshot,No,No
2026-07-05,NYM@ATL,A.J. Ewing,NYM,ATL,1,2,Home Run,A.J. Ewing homers (5) on a fly ball to center field.,Yes,129,47.6,Longshot,No,No
2026-07-05,NYM@ATL,Drake Baldwin,ATL,NYM,1,9,Home Run,Drake Baldwin hits a grand slam (15) to left field. Dominic Smith scores. Austin Riley scores. Eli White scores.,Yes,51,56.8,Longshot,No,No
2026-07-05,NYM@ATL,Tyrone Taylor,NYM,ATL,1,9,Home Run,Tyrone Taylor homers (5) on a fly ball to left center field.,Yes,135,47.2,Longshot,No,No
2026-07-05,PIT@WSH,Brandon Lowe,PIT,WSH,1,8,Home Run,Brandon Lowe homers (21) on a fly ball to right field. Jake Mangum scores. Konnor Griffin scores.,Yes,44,57.9,Longshot,No,No
2026-07-05,PIT@WSH,Bryan Reynolds,PIT,WSH,1,3,Home Run,Bryan Reynolds homers (13) on a fly ball to center field.,Yes,57,55.2,Longshot,No,No
2026-07-05,PIT@WSH,Dylan Crews,WSH,PIT,1,8,Home Run,Dylan Crews homers (6) on a fly ball to left center field.,Yes,108,49.7,Longshot,No,No
2026-07-05,PIT@WSH,Luis García Jr.,WSH,PIT,1,3,Home Run,Luis García Jr. homers (19) on a fly ball to right field. Keibert Ruiz scores.,Yes,24,61.0,Tier 3,No,No
